gene_name,pval,padj
ATG5,1.25936858815386e-05,3.97185477802372e-05
BANK1,0.000112520804464111,0.000294369128381361
BLK,4.96212507483662e-06,1.84951934607547e-05
C1QA,1.44982347420818e-06,6.60475138250394e-06
C1QB,1.61356295744595e-09,1.32312162510568e-08
C1QC,1.46944210906485e-09,1.32312162510568e-08
C2,4.67995272612691e-10,6.39593539237344e-09
C4A,0.264583180284268,0.309940296904428
C4B,0.93657028363469,0.93657028363469
CRP,0.000114875757417117,0.000294369128381361
ETS1,3.08246838875981e-06,1.26381203939152e-05
FAM167A,0.00957905921873636,0.0145459788136367
FCGR2A,1.22011170690918e-06,6.25307249790956e-06
GTF2I,0.218822956823824,0.263874742052258
GTF2IRD1,0.621279706063534,0.670328103910655
HIP1,0.00174255688544229,0.00324749237741517
HLA-DQA1,0.000221338808104043,0.000533817125427399
HLA-DQB1,0.148005932063221,0.189632600456002
HLA-DRB1,0.202427561140129,0.251500909295311
IKZF1,0.000725474328772568,0.00156549723577238
IL12RB2,0.000849752376226975,0.001659040353586
IRAK1,0.650639625830883,0.684005760488877
IRF5,1.1247676077894e-07,7.68591198656089e-07
ITGAM,0.00207359322630559,0.00356752220865779
JAZF1,0.880776340990661,0.902795749515427
KCP,0.359623329749932,0.409571014437423
LBH,2.95910185243997e-10,6.06615879750194e-09
LYN,5.86482901164134e-05,0.000171755706769496
PHRF1,1.11776253231e-06,6.25307249790956e-06
PTPN22,0.0341160370747239,0.0490930866640688
RASGRP3,0.00217462519779827,0.00356752220865779
SLC15A4,0.0347243783721462,0.0490930866640688
STAT4,0.000260756811597096,0.000593946070860052
TNFAIP3,9.89203224392643e-06,3.37977768334153e-05
TNFSF4,0.0387754337171591,0.0529930927467841
TNIP1,0.000830760936529355,0.001659040353586
TNPO3,0.00217531841991328,0.00356752220865779
TREX1,2.14857118144678e-11,8.80914184393182e-10
TYK2,0.374020751338354,0.414455427158716
UBE2L3,0.00940030915738825,0.0145459788136367
WDFY4,0.129232374966043,0.170920237858315
