term_name,source,p_values,significant,intersection_sizes,direction
defense response,GO:BP,3.66247015008219e-37,TRUE,96,Up-regulated
response to external biotic stimulus,GO:BP,1.49141513829474e-35,TRUE,87,Up-regulated
response to other organism,GO:BP,1.49141513829474e-35,TRUE,87,Up-regulated
biological process involved in interspecies interaction between organisms,GO:BP,1.49141513829474e-35,TRUE,91,Up-regulated
response to biotic stimulus,GO:BP,1.49141513829474e-35,TRUE,88,Up-regulated
response to external stimulus,GO:BP,1.25310710500832e-29,TRUE,98,Up-regulated
defense response to other organism,GO:BP,1.25310710500832e-29,TRUE,68,Up-regulated
defense response to symbiont,GO:BP,2.12257485989233e-28,TRUE,66,Up-regulated
defense response to virus,GO:BP,6.82077116529619e-28,TRUE,40,Up-regulated
response to virus,GO:BP,9.36179976212992e-26,TRUE,42,Up-regulated
innate immune response,GO:BP,2.76057972850802e-24,TRUE,59,Up-regulated
response to stress,GO:BP,9.46292464776186e-24,TRUE,116,Up-regulated
negative regulation of viral genome replication,GO:BP,7.96469391588079e-22,TRUE,18,Up-regulated
immune response,GO:BP,2.64193380053879e-21,TRUE,79,Up-regulated
immune system process,GO:BP,1.55203164422256e-20,TRUE,92,Up-regulated
regulation of viral genome replication,GO:BP,2.35289766641266e-19,TRUE,19,Up-regulated
viral genome replication,GO:BP,4.19840390081335e-19,TRUE,21,Up-regulated
regulation of viral life cycle,GO:BP,4.80318226594949e-19,TRUE,21,Up-regulated
negative regulation of viral process,GO:BP,2.59103822376036e-18,TRUE,18,Up-regulated
response to cytokine,GO:BP,5.74361403485622e-18,TRUE,50,Up-regulated
response to peptide,GO:BP,1.00204992446961e-17,TRUE,50,Up-regulated
regulation of viral process,GO:BP,3.23720389134878e-17,TRUE,21,Up-regulated
Interferon alpha/beta signaling,REAC,5.42615921955557e-17,TRUE,14,Up-regulated
response to bacterium,GO:BP,5.46094737065076e-17,TRUE,42,Up-regulated
antiviral innate immune response,GO:BP,1.35089773296956e-16,TRUE,15,Up-regulated
viral process,GO:BP,2.89297060949255e-16,TRUE,29,Up-regulated
viral life cycle,GO:BP,4.2750649832419e-16,TRUE,26,Up-regulated
cellular response to cytokine stimulus,GO:BP,2.22698477139913e-14,TRUE,43,Up-regulated
cytokine-mediated signaling pathway,GO:BP,5.95958261606538e-14,TRUE,32,Up-regulated
response to type I interferon,GO:BP,2.00412958513403e-13,TRUE,14,Up-regulated
regulation of defense response,GO:BP,3.39994513568097e-13,TRUE,40,Up-regulated
interferon-mediated signaling pathway,GO:BP,8.14504276167596e-13,TRUE,16,Up-regulated
regulation of response to external stimulus,GO:BP,1.32489296728572e-12,TRUE,45,Up-regulated
cellular response to type I interferon,GO:BP,2.06302405454638e-12,TRUE,13,Up-regulated
response to stimulus,GO:BP,2.27131167706529e-12,TRUE,168,Up-regulated
defense response to bacterium,GO:BP,4.15825311345513e-12,TRUE,25,Up-regulated
response to chemical,GO:BP,3.20338189239482e-11,TRUE,92,Up-regulated
type I interferon-mediated signaling pathway,GO:BP,4.55136190794375e-11,TRUE,12,Up-regulated
Interferon Signaling,REAC,7.40001313860331e-11,TRUE,15,Up-regulated
interleukin-27-mediated signaling pathway,GO:BP,8.71725772511551e-11,TRUE,5,Up-regulated
positive regulation of response to external stimulus,GO:BP,2.64249380830462e-09,TRUE,30,Up-regulated
inflammatory response,GO:BP,3.07329918945377e-09,TRUE,35,Up-regulated
regulation of response to cytokine stimulus,GO:BP,3.56445750742361e-09,TRUE,15,Up-regulated
regulation of innate immune response,GO:BP,6.85465892197923e-09,TRUE,25,Up-regulated
antimicrobial humoral response,GO:BP,6.85465892197923e-09,TRUE,15,Up-regulated
response to lipopolysaccharide,GO:BP,6.85465892197923e-09,TRUE,21,Up-regulated
regulation of immune system process,GO:BP,8.00560040082237e-09,TRUE,48,Up-regulated
positive regulation of immune system process,GO:BP,8.00560040082237e-09,TRUE,39,Up-regulated
regulation of response to biotic stimulus,GO:BP,9.20024900575041e-09,TRUE,27,Up-regulated
positive regulation of defense response,GO:BP,1.02540871233468e-08,TRUE,26,Up-regulated
response to molecule of bacterial origin,GO:BP,1.75057643732102e-08,TRUE,21,Up-regulated
defense response to fungus,GO:BP,5.00581884906804e-08,TRUE,10,Up-regulated
Cytokine Signaling in Immune system,REAC,7.32758392297851e-08,TRUE,23,Up-regulated
signaling,GO:BP,7.46167119728406e-08,TRUE,116,Up-regulated
cellular response to lipopolysaccharide,GO:BP,7.47052822786317e-08,TRUE,16,Up-regulated
regulation of cytokine production,GO:BP,7.85887207616601e-08,TRUE,29,Up-regulated
positive regulation of response to stimulus,GO:BP,8.41971276434291e-08,TRUE,58,Up-regulated
cytokine production,GO:BP,9.02060708879725e-08,TRUE,29,Up-regulated
positive regulation of biological process,GO:BP,1.00148478538713e-07,TRUE,104,Up-regulated
cell surface receptor signaling pathway,GO:BP,1.0371809936507e-07,TRUE,62,Up-regulated
regulation of immune response,GO:BP,1.24183065736029e-07,TRUE,34,Up-regulated
regulation of cytokine-mediated signaling pathway,GO:BP,1.24937277821152e-07,TRUE,15,Up-regulated
cellular response to molecule of bacterial origin,GO:BP,1.34327005605292e-07,TRUE,16,Up-regulated
Antimicrobial mechanism of IFN-stimulated genes,REAC,1.94309658734148e-07,TRUE,9,Up-regulated
double-stranded RNA binding,GO:MF,2.31363377154721e-07,TRUE,11,Up-regulated
response to fungus,GO:BP,2.40907252798366e-07,TRUE,10,Up-regulated
humoral immune response,GO:BP,2.86514024267474e-07,TRUE,15,Up-regulated
signal transduction,GO:BP,2.8860525462843e-07,TRUE,108,Up-regulated
cellular response to exogenous dsRNA,GO:BP,3.28733887437909e-07,TRUE,6,Up-regulated
cell communication,GO:BP,4.34386876196946e-07,TRUE,114,Up-regulated
negative regulation of cytokine production,GO:BP,4.46308044997958e-07,TRUE,17,Up-regulated
cellular response to stimulus,GO:BP,4.58510321884264e-07,TRUE,133,Up-regulated
antimicrobial humoral immune response mediated by antimicrobial peptide,GO:BP,4.92327997317955e-07,TRUE,10,Up-regulated
regulation of response to stress,GO:BP,5.00467478027273e-07,TRUE,41,Up-regulated
cellular response to biotic stimulus,GO:BP,5.84848657697598e-07,TRUE,16,Up-regulated
cellular response to chemical stimulus,GO:BP,7.06644000281209e-07,TRUE,55,Up-regulated
regulation of type I interferon-mediated signaling pathway,GO:BP,7.56732114314046e-07,TRUE,7,Up-regulated
Immune System,REAC,1.02875801251371e-06,TRUE,38,Up-regulated
positive regulation of interferon-beta production,GO:BP,1.25038161849356e-06,TRUE,7,Up-regulated
regulation of tumor necrosis factor production,GO:BP,1.44482881420206e-06,TRUE,12,Up-regulated
