term_name,small_term,source,p_values,significant,intersection_sizes,direction,
endopeptidase activity,endopeptidase activity,GO:MF,0.026487579,TRUE,5,Down-regulated,
structural constituent of skin epidermis,skill epidermis structure,GO:MF,0.026487579,TRUE,2,Down-regulated,
ferritin receptor activity,ferritin receptor activity,GO:MF,0.026487579,TRUE,1,Down-regulated,
sodium:bicarbonate symporter activity,NA,GO:MF,0.026487579,TRUE,1,Down-regulated,
bicarbonate:chloride antiporter activity,ferritin receptor activity,GO:MF,0.026487579,TRUE,1,Down-regulated,Down-regulated
potassium channel activator activity,potassium channel  activity,GO:MF,0.026743899,TRUE,1,Down-regulated,
chloride:bicarbonate antiporter activity,NA,GO:MF,0.026743899,TRUE,1,Down-regulated,
monoatomic cation:bicarbonate symporter activity,bicarbonate  antiporter activity,GO:MF,0.026743899,TRUE,1,Down-regulated,
channel activator activity,NA,GO:MF,0.026743899,TRUE,1,Down-regulated,
bicarbonate:monoatomic anion antiporter activity,bicarbonate  antiporter activity,GO:MF,0.026743899,TRUE,1,Down-regulated,
defense response,NA,GO:BP,4.8139168407921e-38,TRUE,96,Up-regulated,
response to other organism,NA,GO:BP,4.3319845053792e-37,TRUE,88,Up-regulated,
response to biotic stimulus,response to external stimulus,GO:BP,4.3319845053792e-37,TRUE,89,Up-regulated,
biological process involved in interspecies interaction between organisms,response to external stimulus,GO:BP,4.3319845053792e-37,TRUE,92,Up-regulated,
response to external biotic stimulus,interspecies interaction,GO:BP,4.3319845053792e-37,TRUE,88,Up-regulated,
defense response to other organism,defense response,GO:BP,1.49430848725199e-35,TRUE,78,Up-regulated,
response to external stimulus,response to external stimulus,GO:BP,4.47303853653745e-30,TRUE,98,Up-regulated,
defense response to symbiont,NA,GO:BP,6.46001088913127e-30,TRUE,67,Up-regulated,
defense response to virus,defense response (virus),GO:BP,3.61791465548277e-28,TRUE,40,Up-regulated,
response to virus,defense response (virus),GO:BP,5.87319859360238e-26,TRUE,42,Up-regulated,
double-stranded RNA binding,NA,GO:MF,1.32922382706733e-07,TRUE,11,Up-regulated,
glycosaminoglycan binding,NA,GO:MF,7.86256093624064e-07,TRUE,17,Up-regulated,
2'-5'-oligoadenylate synthetase activity,NA,GO:MF,1.42334855402178e-06,TRUE,3,Up-regulated,
sulfur compound binding,NA,GO:MF,6.45853902462196e-06,TRUE,16,Up-regulated,
heparin binding,NA,GO:MF,6.97771939645282e-06,TRUE,13,Up-regulated,
chemokine receptor binding,NA,GO:MF,6.40730568438517e-05,TRUE,7,Up-regulated,
chemokine activity,NA,GO:MF,7.51767403511166e-05,TRUE,6,Up-regulated,
serine-type endopeptidase activity,NA,GO:MF,0.000243748,TRUE,13,Up-regulated,
serine-type peptidase activity,NA,GO:MF,0.000410341,TRUE,13,Up-regulated,
serine hydrolase activity,NA,GO:MF,0.000426383,TRUE,13,Up-regulated,
Influenza A,Influenza A,KEGG,0.001425071,TRUE,7,Up-regulated,
Coronavirus disease - COVID-19,Coronavirus disease - COVID-19,KEGG,0.00210336,TRUE,10,Up-regulated,
Hepatitis C,Hepatitis C,KEGG,0.00329034,TRUE,8,Up-regulated,
Staphylococcus aureus infection,NOD-like receptor signaling pathway,KEGG,0.036876346,TRUE,6,Up-regulated,
NOD-like receptor signaling pathway,Staphylococcus aureus infection,KEGG,0.036876346,TRUE,6,Up-regulated,
Interferon alpha/beta signaling,Interferon alpha/beta signaling,REAC,5.80042223000852e-17,TRUE,14,Up-regulated,
Interferon Signaling,Interferon Signaling,REAC,7.92732017395503e-11,TRUE,15,Up-regulated,
Cytokine Signaling in Immune system,Cytokine Signaling,REAC,8.04807059488204e-08,TRUE,23,Up-regulated,
Antiviral mechanism by IFN-stimulated genes,Antiviral mechanism by IFN-stimulated genes,REAC,2.02729561640198e-07,TRUE,9,Up-regulated,
Immune System,Immune System,REAC,7.53736352709241e-07,TRUE,38,Up-regulated,
OAS antiviral response,OAS antiviral response,REAC,1.63737076139497e-06,TRUE,4,Up-regulated,
Antimicrobial peptides,NA,REAC,5.61775916232996e-05,TRUE,12,Up-regulated,
Neutrophil degranulation,Neutrophil degranulation,REAC,9.93580334260047e-05,TRUE,23,Up-regulated,
ISG15 antiviral mechanism,ISG15 antiviral mechanism,REAC,0.000169227,TRUE,5,Up-regulated,
Interferon gamma signaling,Interferon gamma signaling,REAC,0.002361499,TRUE,9,Up-regulated,
