expression	transcript_biotype	count
Down-regulated	TEC	1
Down-regulated	TR_J_gene	1
Down-regulated	TR_V_gene	3
Down-regulated	lncRNA	7
Down-regulated	miRNA	1
Down-regulated	misc_RNA	1
Down-regulated	nonsense_mediated_decay	11
Down-regulated	processed_pseudogene	3
Down-regulated	protein_coding	30
Down-regulated	protein_coding_CDS_not_defined	10
Down-regulated	retained_intron	11
Down-regulated	snRNA	1
Down-regulated	transcribed_unprocessed_pseudogene	5
Down-regulated	unprocessed_pseudogene	1
Up-regulated	IG_C_gene	2
Up-regulated	IG_J_gene	2
Up-regulated	IG_V_gene	28
Up-regulated	IG_V_pseudogene	9
Up-regulated	TEC	10
Up-regulated	lncRNA	105
Up-regulated	miRNA	3
Up-regulated	misc_RNA	7
Up-regulated	non_stop_decay	1
Up-regulated	nonsense_mediated_decay	89
Up-regulated	processed_pseudogene	25
Up-regulated	protein_coding	260
Up-regulated	protein_coding_CDS_not_defined	127
Up-regulated	rRNA_pseudogene	1
Up-regulated	retained_intron	122
Up-regulated	snRNA	1
Up-regulated	snoRNA	1
Up-regulated	transcribed_processed_pseudogene	6
Up-regulated	transcribed_unitary_pseudogene	2
Up-regulated	transcribed_unprocessed_pseudogene	15
Up-regulated	unitary_pseudogene	2
Up-regulated	unprocessed_pseudogene	6
