term,small_term,exclude,direction,intersection_size,p.adjust,category
cell adhesion,Cell adhesion,no,Down-regulated,9,0.013472172,GO:BP
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Insulin-like Growth Factor (ISG) transport,no,Down-regulated,2,0.037713559,REAC
Bicarbonate transporters,Bicarbonate transporters,yes,Down-regulated,1,0.037713559,REAC
spongiotrophoblast differentiation,Spongiotrophoblast differentiation,yes,Up-regulated,1,0.04980636,GO:BP
male sex differentiation,Male sex differentiation,yes,Up-regulated,6,0.049681475,GO:BP
toll-like receptor 4 signaling pathway,Toll-like receptor 4 signaling,no,Up-regulated,2,0.04966697,GO:BP
macromolecule localization,Macromolecule localization,no,Up-regulated,17,0.049565024,GO:BP
regulation of peptidyl-tyrosine phosphorylation,Peptidyl-tyrosine phosphorylation,no,Up-regulated,2,0.049457361,GO:BP
2'-deoxyribonucleotide metabolic process,2'-deoxyribonucleotide metabolic process,yes,Up-regulated,2,0.049457361,GO:BP
regulation of interleukin-8 production,Interleukin-8 production,no,Up-regulated,4,0.049006324,GO:BP
interleukin-8 production,Interleukin-8 production,no,Up-regulated,4,0.049006324,GO:BP
arginine catabolic process to ornithine,Arginine catabolic process,yes,Up-regulated,1,0.048912497,GO:BP
positive regulation of neutrophil mediated killing of symbiont cell,Neutrophil-mediated killing,no,Up-regulated,1,0.048912497,GO:BP
positive regulation of neutrophil mediated cytotoxicity,Neutrophil-mediated cytotoxicity,no,Up-regulated,1,0.048912497,GO:BP
manganese ion export across plasma membrane,Manganese ion export,yes,Up-regulated,1,0.048674834,GO:BP
canonical inflammasome complex assembly,Inflammasome complex assembly,no,Up-regulated,1,0.048674834,GO:BP
positive regulation of necroptotic process,Necroptotic process,no,Up-regulated,1,0.048674834,GO:BP
positive regulation of myeloid dendritic cell activation,Myeloid dendritic cell activation,no,Up-regulated,1,0.048674834,GO:BP
Attachment and Entry,Attachment and entry,yes,Up-regulated,3,0.047594327,REAC
SARS-CoV-2 activates/modulates innate and adaptive immune responses,SARS-CoV-2 activated immune response,no,Up-regulated,4,0.038714488,REAC
Ovarian tumor domain proteases,Ovarian tumor proteases,yes,Up-regulated,3,0.035387125,REAC
Viral Infection Pathways,Viral infection pathway,no,Up-regulated,10,0.030230808,REAC
Antagonism of Activin by Follistatin,Antagonism of activin by follistatin,no,Up-regulated,2,0.030230808,REAC
TRAF6 mediated NF-kB activation,TRAF5 mediated NF-kB activation,no,Up-regulated,2,0.029492232,REAC
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,TP53 regulation of G1 cell cycle arrest,no,Up-regulated,3,0.029492232,REAC
Activation of ATR in response to replication stress,ATR response to replication stress,no,Up-regulated,4,0.025889029,REAC
Nicotinate metabolism,Nicotinate metabolism,yes,Up-regulated,2,0.020165859,REAC
mRNA Editing,mRNA editing,yes,Up-regulated,2,0.018813905,REAC
Transcription of E2F targets under negative control by DREAM complex,Transcription of E2F targets,no,Up-regulated,3,0.018649396,REAC
Translation of Structural Proteins,Translation of structural proteins,yes,Up-regulated,2,0.018649396,REAC
PKR-mediated signaling,PKR-mediated signaling,no,Up-regulated,3,0.018649396,REAC
SARS-CoV-2 Infection,SARS-CoV-2 Infection,no,Up-regulated,5,0.01825675,REAC
Formation of the Editosome,Formation of editosome,yes,Up-regulated,2,0.013680457,REAC
extracellular region,Extracellular region,no,Down-regulated,12,0.007539844,GO:CC
CA3 pyramidal cell dendrite,CA3 pyramidal cell dendrite,no,Down-regulated,1,0.007539844,GO:CC
basal dendrite,Basal dendrite,no,Down-regulated,1,0.009047813,GO:CC
insulin-like growth factor binary complex,Insulin-like Growth Factor complex,no,Down-regulated,1,0.009047813,GO:CC
cell periphery,Cell periphery,no,Down-regulated,16,0.009047813,GO:CC
plasma membrane,Plasma membrane,no,Down-regulated,15,0.011751383,GO:CC
bicarbonate:monoatomic anion antiporter activity,Bicarbonate:monoatomic anion antiporter,no,Down-regulated,1,0.011959152,GO:MF
sodium:bicarbonate symporter activity,Sodium:bicarbonate symporter,no,Down-regulated,1,0.011959152,GO:MF
ferritin receptor activity,Ferritin receptor,no,Down-regulated,1,0.011959152,GO:MF
structural constituent of skin epidermis,Skin epidermis structure,no,Down-regulated,2,0.011959152,GO:MF
monoatomic cation:bicarbonate symporter activity,Monoatomic cation:bicarbonate symporter,no,Down-regulated,1,0.011959152,GO:MF
sodium,Sodium,no,Down-regulated,1,0.011959152,GO:MF
endopeptidase activity,Endopeptidase activity,no,Down-regulated,5,0.011959152,GO:MF
chloride:bicarbonate antiporter activity,Chloride:bicarbonate antiporter,no,Down-regulated,1,0.011959152,GO:MF
cell adhesion,Cell adhesion,no,Down-regulated,9,0.013472172,GO:BP
