gene_name,log2FoldChange,lfcSE,padj,pvalue,expression
IFI27,5.13301193496101,0.349635031376394,8.83544267735103e-33,4.65586904007537e-37,Up-regulated
SAMD9L,1.41819768037426,0.107653599416788,8.83544267735103e-33,3.76996869217507e-37,Up-regulated
SPATS2L,2.26786272159786,0.169064594377569,4.69290199571772e-32,3.70941297021478e-36,Up-regulated
PLSCR1,1.50374689810645,0.115885835235868,9.23543789090532e-32,9.73329598029754e-36,Up-regulated
USP18,2.83055409344908,0.210852911937228,4.18492258404903e-31,5.51315089852061e-35,Up-regulated
EIF2AK2,1.59271783000146,0.1248597975121,7.69613765994664e-31,1.21665242028982e-34,Up-regulated
IFITM1,1.11142974525403,0.0891102233347888,1.05333068438069e-30,2.22022592481571e-34,Up-regulated
DDX60,1.77107586628684,0.139138483438778,1.07246151447533e-30,2.5431189414233e-34,Up-regulated
IFIH1,1.33850850992991,0.106761831292929,1.44425093977836e-30,3.80526674336924e-34,Up-regulated
EPSTI1,2.09270204222659,0.163168085811984,3.87345589917604e-30,1.12262251385721e-33,Up-regulated
IFI44,2.62690817129071,0.204293272338987,6.10101682343789e-30,2.08971962651348e-33,Up-regulated
OTOF,4.29728453182649,0.322942559819144,1.1897319118118e-29,4.38853527042344e-33,Up-regulated
DDX60L,1.25543007463543,0.10249324330472,1.63414161435386e-29,6.88893550868465e-33,Up-regulated
HERC5,2.1513499342013,0.17278776722947,8.22311428607812e-29,3.68322028938525e-32,Up-regulated
PARP9,1.18261163796225,0.0980131888769682,9.49384614374972e-29,4.50253545311416e-32,Up-regulated
IFIT3,2.23080941615439,0.178154017189272,1.19275115033254e-28,6.59950839357733e-32,Up-regulated
OASL,2.00107162257635,0.161789825686495,1.51380997464219e-28,8.77478511938876e-32,Up-regulated
PARP14,1.16918191501088,0.0980513829276636,2.11185522456346e-28,1.27977736641618e-31,Up-regulated
IFIT5,1.48323870432885,0.123453212209683,3.245506627407e-28,2.05227799593635e-31,Up-regulated
IFIT2,1.75427005442142,0.145243982941737,5.80713564459244e-28,3.97811895345427e-31,Up-regulated
XAF1,1.76404566993268,0.146554884597801,1.22815830285464e-27,9.06055553562995e-31,Up-regulated
TRIM22,1.17846825194995,0.100949247678839,2.65814136646483e-27,2.03104019675081e-30,Up-regulated
HERC6,1.47449958301256,0.12583348595997,5.67952217030984e-27,4.48926766900182e-30,Up-regulated
IFI6,2.1351268048688,0.177776373863196,6.15987356216978e-27,5.03125047234187e-30,Up-regulated
IFIT1,2.57491657084068,0.21136924588616,1.16648415138003e-26,9.83492987410045e-30,Up-regulated
SIGLEC1,2.92444974156437,0.241192019597453,1.758489298561e-26,1.528959973982e-29,Up-regulated
OAS1,2.02707872725152,0.170916835027861,2.52392275465891e-26,2.26098365543561e-29,Up-regulated
RIGI,1.2123373721779,0.106020112316579,4.04558332158084e-26,3.83730303991437e-29,Up-regulated
ISG15,2.52154457782164,0.211423642675404,4.08198056695273e-26,3.97937716649763e-29,Up-regulated
PTGFR,2.4270915434542,0.205819158212117,8.61838925355041e-26,8.85590928198519e-29,Up-regulated
IFI44L,3.18736428893,0.262353130152157,8.71648995072307e-26,9.18637292588193e-29,Up-regulated
KIAA1958,1.26792862853539,0.111747535790521,9.65347260697036e-26,1.04282124910625e-28,Up-regulated
TNFAIP6,1.53387572014091,0.134670091618623,1.66634434325077e-25,1.84398119872826e-28,Up-regulated
SAMD9,1.12026481087023,0.0998295512867047,1.95485340917388e-25,2.21475197856555e-28,Up-regulated
APOBEC3A,1.14882721064478,0.101956659292973,2.00330894930438e-25,2.32243225402837e-28,Up-regulated
OAS2,1.8664603205396,0.161893490853478,2.11401922753326e-25,2.50647797963315e-28,Up-regulated
CMPK2,2.36415717731566,0.201320744548659,2.31238690113774e-25,2.80259781452116e-28,Up-regulated
RSAD2,2.88245286709172,0.242565821640211,2.36392162009677e-25,2.92734141709829e-28,Up-regulated
RTP4,1.6077962210579,0.143669740441523,1.06479160777988e-24,1.43079443528413e-27,Up-regulated
TMEM178B,1.77951115783143,0.160599806119549,1.42412785319396e-24,1.98869094744374e-27,Up-regulated
LY6E,2.08692263053196,0.183954387219088,2.12688677188645e-24,3.12504608270028e-27,Up-regulated
ZBP1,1.28402643876687,0.116782505135773,2.67439647588396e-24,4.01645674040643e-27,Up-regulated
ABCA1,1.18733754705603,0.108300231222223,2.72419669628931e-24,4.1630238811398e-27,Up-regulated
CHMP5,1.05903588035494,0.0979608017872733,6.22427545327004e-24,1.00037098237201e-26,Up-regulated
