,ARNT_(+),ATF1_(+),ATF3_(+),BACH1_(+),BCL11A_(+),BCL3_(+),BCL6_(+),BHLHE40_(+),CBFB_(+),CEBPB_(+),CEBPG_(+),CREM_(+),CUX1_(+),DEAF1_(+),E2F1_(+),E2F7_(+),E2F8_(+),EBF1_(+),ELF1_(+),EP300_(+),ESRRA_(+),ETS1_(+),ETV6_(+),FEZF1_(+),FOSL1_(+),FOSL2_(+),FOXA1_(+),FOXA2_(+),GABPA_(+),GATA1_(+),GATA2_(+),GLI2_(+),GLI4_(+),GLIS1_(+),GLIS2_(+),GMEB2_(+),HES1_(+),HIC1_(+),HNF4A_(+),HSF1_(+),IKZF2_(+),IRF1_(+),IRF2_(+),IRF4_(+),JUN_(+),JUND_(+),KLF10_(+),KLF11_(+),KLF13_(+),MAFG_(+),MAFK_(+),MAZ_(+),MEF2D_(+),MITF_(+),MNT_(+),MYBL2_(+),MYC_(+),NANOG_(+),NFE2_(+),NFE2L2_(+),NFIL3_(+),NR2F1_(+),NR2F6_(+),NR4A1_(+),NRF1_(+),PAX5_(+),PKNOX1_(+),REST_(+),RFX5_(+),RUNX1_(+),RUNX3_(+),RXRA_(+),SALL1_(+),SALL2_(+),SOX6_(+),SREBF1_(+),SREBF2_(+),SRF_(+),STAT1_(+),STAT3_(+),TBX21_(+),TCF7_(+),TCF7L2_(+),TFDP1_(+),TGIF2_(+),THAP1_(+),THRB_(+),UBTF_(+),VEZF1_(+),WT1_(+),YBX1_(+),ZBTB20_(+),ZBTB33_(+),ZBTB44_(+),ZBTB7B_(+),ZEB1_(+),ZFP64_(+),ZHX2_(+),ZIC2_(+),ZIK1_(+),ZKSCAN1_(+),ZNF114_(+),ZNF132_(+),ZNF148_(+),ZNF155_(+),ZNF2_(+),ZNF211_(+),ZNF217_(+),ZNF274_(+),ZNF282_(+),ZNF300_(+),ZNF302_(+),ZNF331_(+),ZNF341_(+),ZNF354C_(+),ZNF398_(+),ZNF404_(+),ZNF433_(+),ZNF48_(+),ZNF491_(+),ZNF501_(+),ZNF510_(+),ZNF521_(+),ZNF524_(+),ZNF529_(+),ZNF530_(+),ZNF548_(+),ZNF549_(+),ZNF558_(+),ZNF577_(+),ZNF585B_(+),ZNF614_(+),ZNF662_(+),ZNF677_(+),ZNF692_(+),ZNF76_(+),ZNF837_(+),ZSCAN30_(+)
SRR5827547,0.08842845326716295,0.02226976519670379,0.043794871794871786,0.2701796235679215,0.028550890317624363,0.054667049368541915,0.13115570419918246,0.010092936802973978,0.0,0.11002564102564102,0.02581297579820475,0.02733089960886571,0.13233433233433234,0.1464190981432361,0.009089311865882674,0.006704076930391553,0.015642346963232828,0.018369697501976087,0.03925729442970823,0.15250707156483415,0.04734717549545292,0.0,0.1293015175872709,0.0,0.014397810218978103,0.1335351589376634,0.0012292993630573248,0.0,0.009822302605550216,0.04664006980005536,0.023279253554844104,0.0,0.02434210526315789,0.0,0.028674658674658675,0.04847985347985348,0.014518993352326688,0.012187672792323957,0.0,0.0,0.061378849220954476,0.12734142951918712,0.14785892000917908,0.01831038143089661,0.06011188811188811,0.08326834045584046,0.06668759811616955,0.0,0.10505747126436782,0.02133443617314585,0.04416564810547618,0.02238620490342469,0.15646239954075775,0.09980864432597106,0.016199095022624434,0.0104885234425135,0.047685276725740466,0.0,0.09174897119341564,0.1523921085080148,0.15068209269420574,0.056160310277957336,0.02911100875172732,0.0,0.0645806507635245,0.02183221445860164,0.04508676207513417,0.06125356125356125,0.04407221646768068,0.08205128205128205,0.09417985370751064,0.036987179487179486,0.0,0.022751986547528767,0.048259907488752564,0.04801388298625868,0.022850521988218388,0.16575009433453722,0.18725181422351234,0.2063908965093034,0.07008078167219814,0.12842666149970935,0.04161896243291592,0.012356528073820252,0.0,0.0,0.07208436724565757,0.09079634591174666,0.1118816229729255,0.0,0.1485019180294771,0.0639836699613236,0.03529032448464637,0.10088303477344572,0.14163509856977194,0.10900312098402792,0.0,0.09549119177481036,0.0434850863422292,0.02806716126513081,0.0,0.0,0.0,0.0972373191221224,0.0,0.1130272952853598,0.0,0.14212582513808433,0.036467681623931616,0.043936651583710414,0.0,0.0,0.0,0.025316742081447963,0.19138663967611336,0.08563589101761818,0.0,0.0,0.1912087912087912,0.022894299944659656,0.02423324105200712,0.007553632807870096,0.0,0.027908097165991904,0.02187237200098937,0.0,0.04467791188018031,0.018601898198345387,0.0627262443438914,0.0,0.0062121764491432745,0.0,0.020528551203397832,0.0,0.09425274725274724,0.0,0.020137757667169437,0.11170011148272016
SRR5827548,0.01696443341604632,0.02594972933834431,0.06418461538461538,0.1902569558101473,0.033951766459672766,0.0609931113662457,0.10363214080605383,0.02180154418072634,0.013835758835758835,0.1377179487179487,0.02759231905465288,0.04019713168187745,0.10182617382617384,0.15716180371352784,0.010403020454475491,0.011352694343597385,0.02067960824947547,0.023308520381917868,0.04116710875331565,0.15685263038291106,0.047330743186095904,0.0,0.10522304995464399,0.0,0.01656425463222909,0.11153639741296273,0.0021722195002449782,0.0,0.011790990787317018,0.04382522617625543,0.01653283724149866,0.0,0.03719635627530364,0.0,0.019522144522144524,0.09025641025641026,0.00958974358974359,0.018369816230281347,0.0,0.0,0.07596123175070542,0.12222018925241805,0.1292522072055751,0.04272436487155898,0.0639114219114219,0.08125979344729345,0.0678806907378336,0.0,0.10371352785145888,0.018001102839812516,0.060009317330234235,0.025845094166947642,0.17277123995407578,0.06682692307692308,0.0197737556561086,0.015542875848344797,0.058310739385831874,0.0,0.07338081671415005,0.1515043156596794,0.131519480967664,0.05497091144149968,0.02911100875172732,0.0,0.07206182625631102,0.02887736641127516,0.045645796064400716,0.06351377018043684,0.044937578367769716,0.07609067261241174,0.16213175885643258,0.0,0.0,0.031666721619572034,0.04175599209071874,0.054238560702649104,0.029505800397795944,0.1492625734461754,0.15465239477503628,0.17179313689539738,0.09137356879759724,0.22019892785635856,0.019463327370304116,0.018393546124166958,0.0,0.0,0.07047146401985112,0.12150359921236968,0.10262365555272188,0.0,0.14019987886129615,0.09683283197249676,0.044865794094645035,0.09126975763962067,0.07623888674139931,0.12945290985863778,0.0,0.1080897749357407,0.04835164835164835,0.028852010933229207,0.0,0.0021705426356589145,0.0,0.10353270283329424,0.0,0.13287841191067,0.0,0.14725852081368718,0.024283520299145298,0.04959276018099548,0.0,0.0,0.0,0.01343891402714932,0.1895495951417004,0.07799316453258881,0.0,0.0,0.22472527472527476,0.02749640287769784,0.024534803243029462,0.008847141559005966,0.0,0.029402024291497974,0.034195729243960755,0.0,0.05250836120401338,0.026919132657692225,0.06380090497737556,0.0,0.00883703973751367,0.010259615384615384,0.02924728645587541,0.0,0.0998901098901099,0.0,0.025784229931288757,0.11743589743589745
SRR5827549,0.05870140612076096,0.01497465779402131,0.04436923076923077,0.225462356792144,0.027721738017065563,0.1361748947569843,0.15756156886591668,0.0007606519874177866,0.0,0.14323076923076922,0.0193455289171685,0.010445110821382008,0.1088088578088578,0.13978779840848807,0.010125625046727328,0.01052255709677498,0.01388461354090998,0.01828755504811613,0.04562334217506631,0.1172119794999372,0.046036994176196236,0.0,0.14930910027003458,0.0,0.012618437675463223,0.11661277005641946,0.0012594316511513966,0.0,0.003952297518792743,0.10905656747115758,0.014059588705257996,0.0,0.012601214574898786,0.0,0.02843989343989344,0.021538461538461538,0.01645821462488129,0.0006319726784843062,0.0,0.0,0.034031161820635515,0.1409859841474912,0.1745184608137976,0.013197792088316469,0.08795454545454545,0.09820156695156697,0.0682574568288854,0.0,0.06465664603595637,0.03555555555555556,0.04608441701564911,0.021119727694555498,0.1081142365097589,0.08028750952018279,0.02039431157078216,0.009252127749220528,0.031029767684738887,0.0,0.22411522633744854,0.14017736887034052,0.168264658177175,0.051764705882352935,0.028074619990787652,0.0,0.05699316487415181,0.0261961420777697,0.04838372093023256,0.0,0.037969616020643665,0.06846153846153846,0.04515752737008175,0.038525641025641016,0.0,0.01324458439117676,0.12992356555664986,0.041108513953817816,0.01943014303524015,0.19428440515336104,0.22409724238026124,0.2353066631968677,0.04632315472581544,0.047963572950978486,0.02239713774597496,0.02694709008984702,0.0,0.0,0.026054590570719603,0.05679008360502276,0.08665666905408026,0.0,0.25242681203311124,0.026983240223463687,0.02245488350130591,0.09687881981032666,0.2145032856590645,0.0879006792729943,0.0,0.08499874616011535,0.019858712715855573,0.025677469738383443,0.0,0.0,0.0,0.06716410614327817,0.0,0.10955334987593053,0.0,0.12334366159234812,0.03882745726495727,0.04592760180995475,0.0,0.0,0.0,0.028710407239819005,0.1526568825910931,0.05319293347453548,0.0,0.0,0.16505494505494506,0.032646375207526286,0.018010678267747673,0.004974517008415314,0.0,0.02321943319838057,0.008792975513232748,0.0,0.04049730987349135,0.009987044986079548,0.052941176470588235,0.0,0.00040831206707983965,0.0,0.00966729589428976,0.0,0.07259340659340659,0.0,0.014670856376738732,0.08185061315496098
SRR5827550,0.07145574855252275,0.023346895148777712,0.04903589743589744,0.19360801963993451,0.03380673659950797,0.07225985457328743,0.11070588831458396,0.007990420360308836,0.08667359667359667,0.20323076923076924,0.029209180774911938,0.022554889178617997,0.10627838827838827,0.15915119363395225,0.013291165126680536,0.014310462113879019,0.0195472965747641,0.02275504058818363,0.01464190981432361,0.09359205592665903,0.04257278412187833,0.0,0.13613537102609632,0.0,0.0172060991016283,0.09177308380349523,0.00195688388045076,0.0,0.008971796755779122,0.05135349756512631,0.026247728649303453,0.0,0.0,0.0006903353057199211,0.017484182484182483,0.034706959706959715,0.018490503323836657,0.009375833468856723,0.0,0.0,0.058261072261072265,0.13426791438248542,0.18191703805693446,0.04174297643478876,0.07072727272727272,0.08397524928774927,0.09681318681318682,0.0,0.06363984674329502,0.018905431486076648,0.04471476947121646,0.02560859303501758,0.11671641791044775,0.08653703351104343,0.008901098901098902,0.01712612869560708,0.0518445383862416,0.0,0.11151392845837292,0.14360713269467892,0.1417477654691652,0.05057530704589528,0.028857669276830956,0.0,0.06833835733690596,0.027598582173181438,0.05153846153846154,0.026989553656220324,0.05403720462543992,0.07380527684875511,0.13188267916049146,0.021089743589743592,0.0,0.025179036565663226,0.05085409604054899,0.03044978042215611,0.02293626699911495,0.19296641690474908,0.4286168359941945,0.18596097659068594,0.08434997914746423,0.1242013821610799,0.0267262969588551,0.023195909667323208,0.0,0.0,0.014516129032258062,0.10123147938926368,0.08787171495197939,0.0,0.150849989905108,0.02283197249677697,0.03360002360961502,0.09345943097997893,0.14735987630459993,0.10467688635946393,0.0,0.11502476333772176,0.0,0.028711440843420536,0.0,0.0,0.0,0.07231029191944595,0.0,0.11215880893300248,0.0,0.09847770443217027,0.04435630341880342,0.04334841628959276,0.0,0.0,0.0,0.002307692307692308,0.1835070850202429,0.0668446134591316,0.0,0.0,0.2330769230769231,0.033366906474820136,0.022752620130512158,0.007629094069772036,0.0,0.026991093117408903,0.018515953499876333,0.0,0.03835247927875527,0.01742107756010054,0.05882352941176471,0.0,0.003937294932555596,0.0077211538461538455,0.015497876356772062,0.0,0.059043956043956035,0.0,0.02106628121334004,0.07969342251950948
SRR5827551,0.03424317617866005,0.01431438127090301,0.1089846153846154,0.2844075286415712,0.022911206021418842,0.14834672789896672,0.16290961454004932,0.016705390334572492,0.041164241164241167,0.14017948717948714,0.02541642995114192,0.03269543676662321,0.13611954711954713,0.15450928381962864,0.01434630117467005,0.01050778154616628,0.01947985383103546,0.011519064527056698,0.02684350132625995,0.11444692289751762,0.05754586681774367,0.0,0.15214437568077782,0.0,0.034258843346434587,0.15145589651850833,0.0007239098481136697,0.013829059829059829,0.0032030746622958234,0.05095883504695351,0.0085148971763145,0.0,0.022823886639676112,0.0,0.023228438228438227,0.04844322344322345,0.0202283950617284,0.02314099853634737,0.0,0.0,0.030680898049319106,0.15424390516428646,0.1552243136828629,0.0158999363102399,0.08712354312354313,0.08745815527065527,0.10299843014128728,0.0,0.08831859711170056,0.0411579818031431,0.04053128819604464,0.0244699195607148,0.07976320321469575,0.11421648895658795,0.06082094376212022,0.017051616959765606,0.03807386719785179,0.0,0.12503007280785058,0.18288342976382435,0.19694292024709253,0.050678733031674215,0.028857669276830956,0.0,0.05870517162244303,0.01976962070673538,0.031400715563506265,0.053713200379867036,0.054977981306826094,0.08490895577852099,0.034165033226562135,0.08653846153846154,0.0,0.006030531834218075,0.0472064084419678,0.039057231902535766,0.023992424747095044,0.1972745404560401,0.21687590711175614,0.21532227729213732,0.030224927016124788,0.001480333268746367,0.03698121645796065,0.016264738418368722,0.007890109890109891,0.0,0.0,0.046032796410471616,0.08259143310482375,0.0,0.17977589339794064,0.0,0.03251833434166064,0.056699683877766076,0.1818322381136452,0.08889755828896641,0.0,0.03690395586483606,0.0,0.022866067942210074,0.0,0.0,0.0,0.05700030234614961,0.0,0.044913151364764266,0.0,0.07176478512730702,0.01577056623931624,0.036787330316742084,0.0,0.0,0.0,0.02599547511312217,0.17482287449392714,0.05941561567343795,0.0,0.0,0.20901098901098905,0.023731045932484783,0.021292762507415464,0.002894788826992217,0.0,0.029277732793522263,0.0169403907989117,0.0,0.04340555474770976,0.005651521677781574,0.05141402714932127,0.0,0.0,0.0,0.00886974988201982,0.0,0.06675824175824176,0.0,0.019419725155019274,0.08117614269788183
SRR5827552,0.013498759305210918,0.020427886770334105,0.09972307692307693,0.2954459901800328,0.028026723247029987,0.15380214313050133,0.1426799770278031,0.035500786388332865,0.029324324324324327,0.1914102564102564,0.027777525281218043,0.0511509778357236,0.1267902097902098,0.15145888594164456,0.012913146541298165,0.010447289564218785,0.020748452209312183,0.017645220380663212,0.06885941644562334,0.1754730622716318,0.0446770863260095,0.0,0.14941373428738544,0.0,0.030567623526108926,0.1650316499243154,0.0010362567368936797,0.011658119658119658,0.0059459673317131066,0.04487111580286012,0.00703527443684924,0.0,0.028997975708502027,0.004122287968441814,0.019841824841824843,0.07665750915750916,0.02347530864197531,0.017356318100504146,0.0,0.0,0.05847208931419458,0.14367468137853975,0.1533897061487735,0.031721180383553885,0.07958974358974359,0.08978276353276353,0.12971742543171114,0.0,0.0972030651340996,0.02748828232699201,0.05141222674173963,0.02134627426424546,0.1921297359357061,0.0929155559786748,0.10253070458952812,0.0150487453896066,0.04327509072293787,0.0,0.09890234251345363,0.19082993455373234,0.1673247748214101,0.056832579185520364,0.028765545831414094,0.0024301509927475927,0.06636324166077431,0.021751803021840013,0.02868067978533095,0.07930674264007598,0.0434464857923398,0.0885953177257525,0.11721518382177175,0.017179487179487182,0.0,0.0143499620824953,0.042975601234496015,0.0500297492562686,0.028348100000951663,0.1690916931701795,0.35768287373004354,0.20202261678042088,0.06766830099145922,0.05095394949299231,0.04118962432915922,0.017782694331273774,3.2967032967032964e-05,0.0,0.05397022332506204,0.08210852512992672,0.11073322103835694,0.0,0.13113062790228144,0.06840567253975076,0.04254113237616019,0.08299683877766069,0.10630073444143796,0.11684780613181568,0.0,0.08083349006331891,0.028885400313971743,0.026474033580632564,0.0,0.0,0.0,0.1022484098570496,0.0,0.0684863523573201,0.0,0.11818402263235887,0.016153846153846154,0.04352941176470588,0.0,0.0,0.0,0.018393665158371042,0.1655921052631579,0.07855684990853952,0.0,0.0,0.19736263736263734,0.033244050913115664,0.021031738184694483,0.006526016356524831,0.0,0.027511336032388662,0.01928765767994064,0.004213214171720396,0.0451505016722408,0.01619257916998794,0.0623868778280543,0.0,0.0,0.0,0.011099575271354413,0.0,0.07506593406593406,0.0,0.020041394335511983,0.1026365663322185
SRR13214141,0.09088502894954507,0.004323690652691101,0.10158974358974357,0.07067757774140752,0.034391373933402226,0.19338882510524305,0.15690280733758993,0.05456033743208465,0.004802494802494802,0.16441025641025642,0.0232996250426088,0.018565319426336376,0.24931968031968035,0.14681697612732095,0.017496800552371992,0.01162528618486018,0.01815299436194887,0.01858656512301921,0.0,0.13906224771108547,0.06869637012434318,0.0,0.18473465863917987,0.0,0.03959081976417743,0.1747055180955002,0.0007567368936795689,0.0,0.0008602272085005369,0.06448865594766642,0.014035793602722736,0.0,0.01918016194331984,0.0,0.036926406926406925,0.12422161172161172,0.02209306742640076,0.02295169946332737,0.0,0.0,0.009509876088823458,0.16832703655853906,0.17453796635143787,0.0019094190078550704,0.07505011655011655,0.09639334045584046,0.2333281004709576,0.09056619959965684,0.10626436781609196,0.03833471188309898,0.05498847857014046,0.02812757895412873,0.2148981056257176,0.10680264661081493,0.10714608920491274,0.016845064853407317,0.032921919111614385,0.0,0.1585082304526749,0.10202693730437257,0.17666977257825173,0.060762766645119586,0.02883463841547674,0.0,0.07063438899433094,0.030270848482932333,0.035111806797853314,0.0,0.06186550122056855,0.08934596804162022,0.06475689630444137,0.15025641025641026,0.0,0.00870899139437502,0.06276131136085716,0.06773622326108514,0.04381417790424348,0.213931863511401,0.3801139332365747,0.2687981286743397,0.046500173479079115,0.018191564942194663,0.04642441860465117,0.020060167822356527,0.010769230769230769,0.0,0.06687344913151365,0.08332095935956615,0.03924799525978776,0.0,0.2140349283262669,0.0,0.002718720949106524,0.04000842992623815,0.21726710475454195,0.0044474022397650095,0.0,0.08572754059306628,0.040816326530612235,0.017137836782506834,0.0,0.0,0.0,0.01610787258511609,0.0,0.06364764267990075,0.0,0.0446436750639903,0.03759682158119658,0.0397737556561086,0.0,0.0,0.01901098901098901,0.046289592760181,0.13973684210526316,0.06697843458168865,0.0,0.0,0.12835164835164836,0.010266740453790814,0.01003114494759739,0.0,0.0008731808731808733,0.02952388663967612,0.0002300272075191689,0.0,0.02915515486403955,0.003579396081809675,0.0,0.0,0.0,0.0,0.008862671071260028,0.0,0.09484615384615384,0.0,0.01597812971342383,0.09144370122630993
SRR13214142,0.048933002481389584,0.01616143157604386,0.06338461538461539,0.2642409983633388,0.029822924192678086,0.09241102181400687,0.14872681666159926,0.013125893623105518,0.06609147609147609,0.18899999999999997,0.02315759572775821,0.0350993481095176,0.1128997668997669,0.15875331564986736,0.010158850925530932,0.00909561926868339,0.01826822594978484,0.023582349472416345,0.06748010610079576,0.14039361555804064,0.05308269586534098,0.0,0.13907659385189775,0.0,0.016895353733857383,0.13236411173799367,0.0012812346888780009,0.0,0.004619680099474368,0.05358181082991484,0.01614432811283205,0.0,0.032388663967611336,0.0,0.028629703629703632,0.0948992673992674,0.01979249762583096,0.017766466092047486,0.0,0.0,0.049408906882591086,0.13279544676839275,0.15183916687802698,0.03839954709503928,0.08329720279720279,0.0926602564102564,0.06191522762951334,0.0,0.08416150898909519,0.02360628618693135,0.05901176187709139,0.025054348698681825,0.15368972445464982,0.08859196496572734,0.0332579185520362,0.012777385250630385,0.04061904775874495,0.0,0.12099715099715101,0.16340130892535332,0.15611243399937882,0.055022624434389135,0.028281897742975588,0.0,0.06632838375944326,0.032595473211996025,0.03858228980322004,0.05181386514719848,0.04688697474664874,0.07168338907469342,0.1330563656356074,0.02961538461538462,0.0,0.00909096903953312,0.0563364381397492,0.050338574868961615,0.024384701034459787,0.16874400301870518,0.281344702467344,0.1977135404961024,0.07982539943996046,0.013193825486016922,0.036923076923076927,0.018473410139492216,0.0,0.0,0.06526054590570719,0.08165692888731076,0.10104370188585313,0.0,0.17124570967090652,0.05902019767941556,0.03681130015198689,0.06533192834562697,0.1502435253189022,0.09492840095465394,0.0,0.0891614945771425,0.02511773940345369,0.02628660679422101,0.0,0.0,0.0,0.08503595658648372,0.0,0.10806451612903226,0.0,0.12264448336252187,0.039567307692307686,0.049683257918552035,0.0,0.0,0.0,0.025452488687782802,0.15030364372469635,0.0650077019351112,0.0,0.0,0.2225274725274725,0.02531156613171001,0.021299189242633968,0.006839713958358026,0.0,0.0280834008097166,0.018320554044026712,0.0,0.04500508942852988,0.01400786872692646,0.06368778280542986,0.0,0.0,0.0,0.010016517225106185,0.0,0.05330769230769231,0.0,0.02325624266800737,0.08639353400222965
SRR13214143,0.03741935483870968,0.02877047202013585,0.05628717948717949,0.3716100654664484,0.02292155876462142,0.15168771526980482,0.17591365156582547,0.015067557906777237,0.11215176715176717,0.16653846153846155,0.023212134984660838,0.05530612777053455,0.09407359307359307,0.15039787798408488,0.007697541153032548,0.012416217020166431,0.022582791591228387,0.017722068178111238,0.10578249336870027,0.16801798838648718,0.033581733286435024,0.0,0.13186836953057415,0.0,0.013664023020774844,0.17855304802531993,0.0007937285644292012,0.0,0.01605685864466173,0.04787957638445179,0.0016907501946872025,0.0,0.01138663967611336,0.006568047337278106,0.014447219447219446,0.052326007326007326,0.015954890788224117,0.013336802732151569,0.0,0.0,0.058636240952030426,0.13149784559516742,0.14287990506902426,0.05355289788408464,0.0716025641025641,0.07366631054131054,0.062417582417582426,0.0,0.07400972590627762,0.02596084918665564,0.03551135111307032,0.018437454843215646,0.14003587830080366,0.08648705255140897,0.06798319327731092,0.015444121059693656,0.03922172382871823,0.0,0.11618787591009813,0.24322299155838,0.20726196638713465,0.053574660633484164,0.02883463841547674,0.0,0.05560914492699689,0.01980148316769772,0.034239713774597495,0.06135802469135801,0.024599635343788426,0.07228911185432925,0.0961122531911842,0.0,0.0,0.013112862277028587,0.051806703647535694,0.02856778580535486,0.018965540212601942,0.1402366449248019,0.15966400580551526,0.20703935461739556,0.049755412021574484,0.05539753277788542,0.01964221824686941,0.0153144645603432,0.0,0.0,0.0008684863523573201,0.047595145098292393,0.1486176417138677,0.0,0.129516454673935,0.058117748173614085,0.050471749620032764,0.07940674394099051,0.08214534209509082,0.11955112906186892,0.0,0.059162748417027136,0.03249607535321821,0.02707145646231941,0.0,0.0031246273106738227,0.0,0.13945368593864352,0.0,0.06526054590570719,0.0,0.16284790515963896,0.03609909188034188,0.033846153846153845,0.0,0.0,0.0,0.0,0.1792105263157895,0.07803023009531145,0.0,0.0,0.1589010989010989,0.025148865522966243,0.0219987146529563,0.008589150962032319,0.0,0.023004048582995956,0.021367796190947315,0.0,0.045259560855023986,0.017437811807381222,0.06430995475113123,0.0,0.0,0.0,0.01003067484662577,0.0,0.039560439560439566,0.0,0.013138679403385286,0.10244147157190636
SRR13214144,0.05444168734491315,0.006946177981588112,0.1188205128205128,0.1574513093289689,0.02291523005587921,0.20757749712973594,0.1893800885105233,0.048524449528166994,0.07318087318087317,0.12830769230769232,0.026728780820361318,0.038039113428943935,0.1635041625041625,0.14522546419098142,0.01603193730402009,0.01779946700736583,0.024689575320896925,0.014294480759820838,0.05952254641909814,0.16157308679037669,0.05489929840483088,0.0,0.18383060321729905,0.0,0.039406934306569344,0.1869891289390395,0.0009750122488975992,0.0,0.0022000791273384954,0.05854360291341151,0.005981079288165902,0.0,0.022064777327935218,0.0014792899408284025,0.03178488178488178,0.10955128205128203,0.019515194681861348,0.03676597820783868,0.0,0.0,0.017086124401913875,0.1615979468556863,0.1822742369892629,0.008881466279810346,0.08682517482517482,0.09185363247863247,0.1768916797488226,0.09625393194166428,0.08780430297671676,0.05356492969396196,0.04883753782034584,0.02303100364465424,0.1939896670493685,0.10352532368621478,0.09800581771170007,0.016429951189789398,0.03280869023556183,0.0,0.1370235834124723,0.1507644882860666,0.20190651206129,0.059004524886877824,0.028420082911100875,0.0,0.06634661903166983,0.018825409873498653,0.041120751341681576,0.0,0.04764911834366122,0.09053511705685617,0.07051393603289191,0.042243589743589736,0.0,0.008977546242869859,0.060150337106529714,0.05106389006941493,0.029457931651424168,0.20282841895315615,0.4470087082728592,0.2519965932883048,0.04361533905522242,0.02828457017373894,0.03617620751341682,0.018776137927312957,0.007395604395604396,0.0,0.05880893300248139,0.06790600083927822,0.06210033856477246,0.0,0.18549666868564507,0.025719810915341642,0.01833758798270596,0.041374077976817705,0.1991766524932354,0.06840738020928952,0.0,0.0674722587925522,0.04144427001569859,0.0220929324482624,0.0,0.0,0.0,0.03581312747422287,0.0,0.02133995037220844,0.0,0.0408743095783376,0.03618456196581197,0.040542986425339364,0.0,0.0,0.0,0.043303167420814484,0.13446862348178135,0.06325454895542505,0.0,0.0,0.10923076923076924,0.02744327614831212,0.01670259046865731,0.0027616451345264907,0.0,0.025234412955465583,0.006955231263912936,0.0,0.04202413843245601,0.0067234046766775106,0.04920814479638009,0.0,0.0,0.0,0.008735252477583767,0.0,0.08238461538461539,0.0,0.015323948382771912,0.10479933110367894
