"","geneName","regulon","log2FC","direction"
"1","SNX1","ARNT",-0.00604689357590605,"Downregulated"
"2","ZIC2","ARNT",-0.00604689357590605,"Downregulated"
"3","FBXW11","ARNT",-0.00604689357590605,"Downregulated"
"4","RUNX1T1","ARNT",-0.00604689357590605,"Downregulated"
"5","KIF9","ARNT",-0.00604689357590605,"Downregulated"
"6","AGO1","ARNT",-0.00604689357590605,"Downregulated"
"7","ARCN1","ARNT",-0.00604689357590605,"Downregulated"
"8","CRKL","ARNT",-0.00604689357590605,"Downregulated"
"9","TM9SF4","ARNT",-0.00604689357590605,"Downregulated"
"10","HOXA3","ARNT",-0.00604689357590605,"Downregulated"
"11","CASP2","ARNT",-0.00604689357590605,"Downregulated"
"12","CORO1C","ARNT",-0.00604689357590605,"Downregulated"
"13","KCTD20","ARNT",-0.00604689357590605,"Downregulated"
"14","KLHL18","ARNT",-0.00604689357590605,"Downregulated"
"15","COPA","ARNT",-0.00604689357590605,"Downregulated"
"16","CTCFL","ARNT",-0.00604689357590605,"Downregulated"
"17","APP","ARNT",-0.00604689357590605,"Downregulated"
"18","LSM14B","ARNT",-0.00604689357590605,"Downregulated"
"19","CAST","ARNT",-0.00604689357590605,"Downregulated"
"20","DDAH1","ARNT",-0.00604689357590605,"Downregulated"
"21","HGSNAT","ARNT",-0.00604689357590605,"Downregulated"
"22","ZCCHC24","ARNT",-0.00604689357590605,"Downregulated"
"23","AHCYL1","ARNT",-0.00604689357590605,"Downregulated"
"24","MAP2K1","ARNT",-0.00604689357590605,"Downregulated"
"25","INSR","ARNT",-0.00604689357590605,"Downregulated"
"26","FHL3","ARNT",-0.00604689357590605,"Downregulated"
"27","SPRED2","ARNT",-0.00604689357590605,"Downregulated"
"28","SCYL3","ATF1",-0.00604689357590605,"Downregulated"
"29","RECQL","ATF1",-0.00604689357590605,"Downregulated"
"30","VPS50","ATF1",-0.00604689357590605,"Downregulated"
"31","IBTK","ATF1",-0.00604689357590605,"Downregulated"
"32","MYCBP2","ATF1",-0.00604689357590605,"Downregulated"
"33","VPS41","ATF1",-0.00604689357590605,"Downregulated"
"34","SEC62","ATF1",-0.00604689357590605,"Downregulated"
"35","REV3L","ATF1",-0.00604689357590605,"Downregulated"
"36","VTA1","ATF1",-0.00604689357590605,"Downregulated"
"37","RNF14","ATF1",-0.00604689357590605,"Downregulated"
"38","UFL1","ATF1",-0.00604689357590605,"Downregulated"
"39","SLC30A9","ATF1",-0.00604689357590605,"Downregulated"
"40","AGPS","ATF1",-0.00604689357590605,"Downregulated"
"41","AQR","ATF1",-0.00604689357590605,"Downregulated"
"42","BCLAF1","ATF1",-0.00604689357590605,"Downregulated"
"43","CENPQ","ATF1",-0.00604689357590605,"Downregulated"
"44","IFT88","ATF1",-0.00604689357590605,"Downregulated"
"45","ZCCHC8","ATF1",-0.00604689357590605,"Downregulated"
"46","UBA6","ATF1",-0.00604689357590605,"Downregulated"
"47","PEX3","ATF1",-0.00604689357590605,"Downregulated"
"48","RFC1","ATF1",-0.00604689357590605,"Downregulated"
"49","TBC1D23","ATF1",-0.00604689357590605,"Downregulated"
"50","MAT2B","ATF1",-0.00604689357590605,"Downregulated"
"51","POLR2B","ATF1",-0.00604689357590605,"Downregulated"
"52","TPR","ATF1",-0.00604689357590605,"Downregulated"
"53","C12orf4","ATF1",-0.00604689357590605,"Downregulated"
"54","ZNF800","ATF1",-0.00604689357590605,"Downregulated"
"55","LETMD1","ATF1",-0.00604689357590605,"Downregulated"
"56","SIKE1","ATF1",-0.00604689357590605,"Downregulated"
"57","MSMO1","ATF1",-0.00604689357590605,"Downregulated"
"58","AP5M1","ATF1",-0.00604689357590605,"Downregulated"
"59","ATG5","ATF1",-0.00604689357590605,"Downregulated"
"60","RIOK2","ATF1",-0.00604689357590605,"Downregulated"
"61","MON2","ATF1",-0.00604689357590605,"Downregulated"
"62","GPBP1","ATF1",-0.00604689357590605,"Downregulated"
"63","APPBP2","ATF1",-0.00604689357590605,"Downregulated"
"64","TAF2","ATF1",-0.00604689357590605,"Downregulated"
"65","TAF11","ATF1",-0.00604689357590605,"Downregulated"
"66","GNAI3","ATF1",-0.00604689357590605,"Downregulated"
