,BCL11A_(+),BHLHE40_(+),E2F1_(+),E2F7_(+),E2F8_(+),EBF1_(+),EP300_(+),ESRRA_(+),ETV6_(+),GABPA_(+),GATA1_(+),GATA2_(+),HIC1_(+),IRF1_(+),IRF2_(+),IRF4_(+),MAZ_(+),MYBL2_(+),MYC_(+),NFIL3_(+),PAX5_(+),RFX5_(+),SOX6_(+),SREBF2_(+),STAT3_(+),TBX21_(+),VEZF1_(+),ZHX2_(+),ZNF148_(+),ZNF549_(+)
SRR5827547,0.027814823620126067,0.0,0.003887366766437619,0.007355993303910687,0.01067487658049159,0.020882120189279544,0.27732519526620397,0.037940239132202985,0.172448547284639,0.00967910883296606,0.049271264368326385,0.01631056987935959,0.0,0.1455917096027739,0.16040621477532369,0.03085709437682663,0.0412861447053366,0.00756194506498823,0.06263489813309911,0.19751636180567209,0.023989111126921387,0.1522172580180398,0.05695057642905407,0.0,0.21903446439002267,0.07751528388261249,0.11472032560694922,0.06946412440886307,0.09010010978156667,0.022531956606877027
SRR5827548,0.031195876812408582,0.0,0.003804656835236819,0.012899919886444244,0.017178870447721442,0.02405274281203213,0.2987939551103721,0.04856297884228791,0.13333731216770128,0.00965860224645554,0.04663579511774911,0.010760445406521955,0.0,0.1481958615624567,0.15223914699162225,0.06284783407918257,0.0421782394483214,0.01367909974232706,0.07689304813362932,0.17896045298984994,0.027858087042526028,0.1422294143782431,0.04650694297535311,0.004303959559100458,0.1701627042621139,0.10339269106979526,0.10516293037857648,0.08861518978373688,0.09599041274978193,0.030957467388219688
SRR5827549,0.030908484404494563,0.0,0.003894127404292293,0.009202999399895323,0.008087276242480866,0.02138547262080978,0.14813470875883403,0.02719822587837249,0.2002133199395733,0.002542816727304643,0.141993172032043,0.011440052484828605,0.0,0.16409092445697673,0.18930035034272655,0.018767315518117358,0.0412861447053366,0.006249278089129532,0.040602044466220434,0.19606071351824192,0.030371075540923106,0.14272419736510816,0.17031292885562455,0.0,0.252026158302566,0.04929448400222699,0.08488570437330148,0.05695504702527498,0.05670095077301166,0.0120992178189407
SRR5827550,0.03330004889024854,0.0,0.002700659057904396,0.013229991401407955,0.014143651034030138,0.023908550919046426,0.1064319883458342,0.029512968506319088,0.19152776479915692,0.007115785519150895,0.05843596040432687,0.015196769389912584,0.0012091401966238507,0.1515089448290079,0.19997983244478293,0.05797194020593825,0.04242802597635715,0.01525157929236526,0.06749626641728103,0.17236371616301135,0.03145809671800842,0.1611418512722476,0.05795697018663985,0.0,0.1924581046953875,0.09880204733187196,0.08894143105307582,0.10057076816805116,0.0669772487806391,0.02001724680380041
SRR5827551,0.026455524059258592,0.0,0.0061097466569634724,0.013069796161616878,0.014733429262410575,0.013352581038882002,0.16754236841324086,0.0417293442173389,0.21017277346186736,0.0,0.05728195849425985,0.010986981099290838,0.019249073984736232,0.18680920592561365,0.17253002284843869,0.02509622576558848,0.0431060179810256,0.012474404586856462,0.048397491066532065,0.2332609938653195,0.022754827890764617,0.23846313757005114,0.05613911683221063,0.0,0.2275867737034605,0.02569936117260604,0.07960420943314385,0.002712145096441665,0.04306555005891525,0.003908602717885422
SRR5827552,0.029047334029922236,0.028905760470053082,0.0054840280470095926,0.011056738397030098,0.01652375368569626,0.018950640400689563,0.3440114450430142,0.03810227111615925,0.20346909126797624,0.0017635664399048329,0.04903751904684,0.004115398418634712,0.0,0.16536505468180882,0.166298674790556,0.049631723735753856,0.04135751228477538,0.011444151941837457,0.05608276748580383,0.22196624141285207,0.023113652384562696,0.15471625700746594,0.04877471974446822,0.0,0.20495052896436125,0.07475378433098022,0.11484930488114632,0.052084255831665455,0.09239477250782338,0.01713912150648607
SRR13214141,0.03750583636963843,0.0670785481820977,0.006595217992272519,0.011485174012228622,0.011441442473126985,0.02250888617019457,0.2973447163483968,0.05146026503160106,0.26748759984431664,0.0,0.07348273647623489,0.013025802334210787,0.0,0.20565946612737196,0.19127463823305407,0.0,0.04950350872576791,0.011787483388246991,0.038429755246367804,0.23630973036716205,0.03544913178519192,0.22657329545222946,0.07365994538151277,0.02731350903475808,0.28695303391564764,0.04529002170732317,0.025730208277077345,0.0685652420340424,0.007676281463063672,0.002711751744007343
SRR13214142,0.03223322759873224,0.0,0.002294301569830898,0.009054317819467495,0.013787281123885959,0.02986037411699955,0.24244023274659324,0.04314455214070292,0.1922034599215742,0.0012919149501628428,0.06085474722393209,0.016253935956167375,0.0,0.1497108184407515,0.16036191926884996,0.056538427407204425,0.04332012071934195,0.01007474379402042,0.052236911213515716,0.19374853353116586,0.03983144579445369,0.1631611177078692,0.06767451721865046,0.0,0.20468361904527194,0.09112265984002307,0.10517805389620936,0.056014098726509504,0.07176438417286178,0.016446159653224473
SRR13214143,0.023568321758095975,0.0,0.0024884901039545163,0.014014952060349424,0.01939409278296559,0.02263416961699723,0.24810427075732144,0.04253050236023375,0.16932894325851802,0.009597082486923977,0.053869661566519865,0.0,0.0,0.14783132058937967,0.14838574257425746,0.07669659165266472,0.0367899872006932,0.01262848399083135,0.05041112592044589,0.2668255705085809,0.019789809779914718,0.07146039682348068,0.06324468174285608,0.0,0.20920718257870705,0.05141994496090586,0.16042345276872966,0.02490745496732142,0.1303509348078869,0.020674314559087057
SRR13214144,0.02466612556766461,0.06051184675896463,0.005573930146140897,0.019222990538759976,0.019975213883457257,0.016604813794578958,0.3420766160385672,0.04531590932252949,0.25766701682882626,0.0,0.06695525593632834,0.0062863654743365105,0.042746219469552184,0.18804950428764508,0.19420399086062454,0.012594433874590059,0.043427172088500124,0.009202315986937132,0.040114915078719136,0.27348039658632634,0.021219123966205386,0.19029924337083293,0.07299632529892383,0.001632031335001632,0.26947738676083843,0.04539752118782234,0.04855443502641034,0.030829894259551183,0.016178189755864016,0.006262491284903213
