regulon,Pvalues,AdjPvalues,log2FC,direction
BCL11A_(+),2.885360403561e-07,9.29727241147434e-07,-0.00723239166526322,Down-regulated
E2F8_(+),0.0381736359495676,0.0461264767723942,-0.000537194627300148,Down-regulated
EBF1_(+),4.54801949824242e-05,9.64599812759757e-05,-0.00442455001873339,Down-regulated
ESRRA_(+),0.0185174856528977,0.0244094129060925,-0.00464277595190589,Down-regulated
ETV6_(+),1.56470457711736e-19,4.53764327364036e-18,0.0692628128406461,Up-regulated
GABPA_(+),4.656688751254e-05,9.64599812759757e-05,-0.00264786950237512,Down-regulated
GATA1_(+),0.0138778089810036,0.0211819189710054,-0.00305079279671979,Down-regulated
GATA2_(+),5.78329285648757e-11,3.35430985676279e-10,-0.00486374126097108,Down-regulated
HIC1_(+),1.57089231193218e-09,5.69448463075415e-09,-0.0118028355838673,Down-regulated
IRF1_(+),3.96603398707721e-10,1.91691642708732e-09,0.0239023784116457,Up-regulated
IRF2_(+),1.51923736647966e-15,2.20289418139551e-14,0.0490079482891958,Up-regulated
IRF4_(+),0.0153776931383575,0.0214267103810999,0.0117125047763226,Up-regulated
MAZ_(+),5.23041840888708e-11,3.35430985676279e-10,-0.00866977446752731,Down-regulated
MYC_(+),4.72255651179667e-10,1.95648769774433e-09,-0.0170282154944084,Down-regulated
NFIL3_(+),4.03962360560503e-07,1.17149084562546e-06,0.0313573317722444,Up-regulated
PAX5_(+),2.61237025252089e-06,6.88715793846417e-06,-0.0082166018777004,Down-regulated
RFX5_(+),6.58298461532871e-06,1.59088794870444e-05,-0.0314862074948525,Down-regulated
SOX6_(+),0.0378121116960109,0.0461264767723942,-0.00137765867396718,Down-regulated
SREBF2_(+),0.0023888642783279,0.00432981650446932,-0.00545326602616602,Down-regulated
STAT3_(+),0.0035223844759907,0.0056749527668739,0.0210726863499097,Up-regulated
TBX21_(+),5.85695881443467e-14,5.66172685395351e-13,-0.0250794289305366,Down-regulated
VEZF1_(+),0.0155158937242448,0.0214267103810999,0.0126259759581629,Up-regulated
ZHX2_(+),0.00287818435120282,0.00490984389322833,-0.0155828813694438,Down-regulated
ZNF148_(+),0.00122642925643417,0.0023710965624394,0.0170889980253564,Up-regulated
