"","geneName","regulon","log2FC","direction"
"1","AAGAB","BCL11A",-0.00898132669339796,"Downregulated"
"2","AATF","BCL11A",-0.00898132669339796,"Downregulated"
"3","ABCB10","BCL11A",-0.00898132669339796,"Downregulated"
"4","ABHD14A-ACY1","BCL11A",-0.00898132669339796,"Downregulated"
"5","ABHD5","BCL11A",-0.00898132669339796,"Downregulated"
"6","ABLIM1","BCL11A",-0.00898132669339796,"Downregulated"
"7","ABRACL","BCL11A",-0.00898132669339796,"Downregulated"
"8","ABTB2","BCL11A",-0.00898132669339796,"Downregulated"
"9","ACAD8","BCL11A",-0.00898132669339796,"Downregulated"
"10","ACADSB","BCL11A",-0.00898132669339796,"Downregulated"
"11","ACAP3","BCL11A",-0.00898132669339796,"Downregulated"
"12","ACCS","BCL11A",-0.00898132669339796,"Downregulated"
"13","ACKR3","BCL11A",-0.00898132669339796,"Downregulated"
"14","ACTN4","BCL11A",-0.00898132669339796,"Downregulated"
"15","ACTR2","BCL11A",-0.00898132669339796,"Downregulated"
"16","ACY3","BCL11A",-0.00898132669339796,"Downregulated"
"17","ADAM29","BCL11A",-0.00898132669339796,"Downregulated"
"18","ADAMTS13","BCL11A",-0.00898132669339796,"Downregulated"
"19","ADAMTS6","BCL11A",-0.00898132669339796,"Downregulated"
"20","ADARB2","BCL11A",-0.00898132669339796,"Downregulated"
"21","ADCY7","BCL11A",-0.00898132669339796,"Downregulated"
"22","ADD3","BCL11A",-0.00898132669339796,"Downregulated"
"23","ADD3-AS1","BCL11A",-0.00898132669339796,"Downregulated"
"24","ADIPOR1","BCL11A",-0.00898132669339796,"Downregulated"
"25","ADORA2A","BCL11A",-0.00898132669339796,"Downregulated"
"26","ADPRM","BCL11A",-0.00898132669339796,"Downregulated"
"27","ADSL","BCL11A",-0.00898132669339796,"Downregulated"
"28","AFF3","BCL11A",-0.00898132669339796,"Downregulated"
"29","AGA","BCL11A",-0.00898132669339796,"Downregulated"
"30","AGBL2","BCL11A",-0.00898132669339796,"Downregulated"
"31","AGFG1","BCL11A",-0.00898132669339796,"Downregulated"
"32","AGO2","BCL11A",-0.00898132669339796,"Downregulated"
"33","AGO3","BCL11A",-0.00898132669339796,"Downregulated"
"34","AHCTF1","BCL11A",-0.00898132669339796,"Downregulated"
"35","AHCYL2","BCL11A",-0.00898132669339796,"Downregulated"
"36","AIM2","BCL11A",-0.00898132669339796,"Downregulated"
"37","AIP","BCL11A",-0.00898132669339796,"Downregulated"
"38","ALKBH2","BCL11A",-0.00898132669339796,"Downregulated"
"39","ALKBH3","BCL11A",-0.00898132669339796,"Downregulated"
"40","ALKBH5","BCL11A",-0.00898132669339796,"Downregulated"
"41","ALKBH8","BCL11A",-0.00898132669339796,"Downregulated"
"42","ALOX5AP","BCL11A",-0.00898132669339796,"Downregulated"
"43","AMBRA1","BCL11A",-0.00898132669339796,"Downregulated"
"44","AMHR2","BCL11A",-0.00898132669339796,"Downregulated"
"45","AMOT","BCL11A",-0.00898132669339796,"Downregulated"
"46","ANAPC13","BCL11A",-0.00898132669339796,"Downregulated"
"47","ANAPC2","BCL11A",-0.00898132669339796,"Downregulated"
"48","ANKLE1","BCL11A",-0.00898132669339796,"Downregulated"
"49","ANKLE2","BCL11A",-0.00898132669339796,"Downregulated"
"50","ANKRD13C","BCL11A",-0.00898132669339796,"Downregulated"
