regulon,Pvalues,AdjPvalues,log2FC
BCL11A_(+),2.8853604035610027e-07,9.297272411474341e-07,-0.007232391665263223
BHLHE40_(+),0.06587896384629102,0.0764195980616976,-0.001225160758007699
E2F1_(+),0.20194275822666796,0.216901481058273,-0.00023673065200432528
E2F7_(+),0.13471941092802017,0.15026395834279171,0.0014510382779183695
E2F8_(+),0.03817363594956763,0.04612647677239422,-0.0005371946273001479
EBF1_(+),4.548019498242417e-05,9.645998127597568e-05,-0.00442455001873339
EP300_(+),0.7417237371225949,0.7417237371225949,0.002024123300495886
ESRRA_(+),0.018517485652897733,0.024409412906092467,-0.004642775951905893
ETV6_(+),1.5647045771173635e-19,4.5376432736403545e-18,0.06926281284064614
GABPA_(+),4.656688751253999e-05,9.645998127597568e-05,-0.0026478695023751234
GATA1_(+),0.01387780898100356,0.021181918971005433,-0.0030507927967197888
GATA2_(+),5.783292856487573e-11,3.3543098567627923e-10,-0.004863741260971076
HIC1_(+),1.57089231193218e-09,5.694484630754153e-09,-0.011802835583867284
IRF1_(+),3.9660339870772143e-10,1.91691642708732e-09,0.02390237841164566
IRF2_(+),1.5192373664796608e-15,2.2028941813955082e-14,0.04900794828919583
IRF4_(+),0.015377693138357488,0.021426710381099928,0.011712504776322585
MAZ_(+),5.230418408887081e-11,3.3543098567627923e-10,-0.008669774467527312
MYBL2_(+),0.4296436463813381,0.4449880623235287,-0.00010455153991084819
MYC_(+),4.722556511796665e-10,1.9564876977443325e-09,-0.01702821549440841
NFIL3_(+),4.039623605605033e-07,1.1714908456254596e-06,0.03135733177224435
PAX5_(+),2.6123702525208933e-06,6.887157938464174e-06,-0.008216601877700402
RFX5_(+),6.5829846153287116e-06,1.5908879487044387e-05,-0.03148620749485245
SOX6_(+),0.03781211169601091,0.04612647677239422,-0.0013776586739671843
SREBF2_(+),0.0023888642783279025,0.004329816504469323,-0.005453266026166017
STAT3_(+),0.0035223844759906986,0.005674952766873903,0.021072686349909657
TBX21_(+),5.856958814434667e-14,5.661726853953512e-13,-0.025079428930536607
VEZF1_(+),0.015515893724244775,0.021426710381099928,0.01262597595816285
ZHX2_(+),0.0028781843512028153,0.004909843893228332,-0.015582881369443835
ZNF148_(+),0.0012264292564341743,0.0023710965624394033,0.017088998025356395
