gene_name,log2FoldChange,padj,direction,source
ADAM29,-1.12272183205472,1.11216166708993e-05,Down-regulated,TBX21
CDC6,1.07590631639459,6.11746589705643e-14,Up-regulated,SREBF2
E2F7,1.07105706988647,1.02521219466356e-11,Up-regulated,SREBF2
RRM2,1.45507991956538,1.07294544458092e-17,Up-regulated,SREBF2
CDCA2,1.20065704774385,7.23391952182486e-15,Up-regulated,SREBF2
AGRN,1.33191804852047,2.51906331697524e-16,Up-regulated,SREBF2
MPO,1.30538096298628,1.03270091720521e-09,Up-regulated,SOX6
ETV7,1.54298850976076,1.00543046564162e-16,Up-regulated,SOX6
LTF,1.41980181338616,3.58702579171106e-08,Up-regulated,SOX6
HMMR,1.0671659740313,1.53065644231785e-11,Up-regulated,SOX6
CRISP3,1.53741381036857,5.43728713458556e-11,Up-regulated,SOX6
RHAG,1.21257099544973,3.99697385740488e-07,Up-regulated,SOX6
TRIM6,1.68254870270285,9.12195092266043e-23,Up-regulated,SOX6
TNFAIP6,1.53387572014091,1.66634434325077e-25,Up-regulated,SOX6
GDF15,1.02626776503071,1.06614465772043e-12,Up-regulated,SOX6
CA1,1.48072440724063,3.50534374992488e-08,Up-regulated,SOX6
RSAD2,2.88245286709172,2.36392162009677e-25,Up-regulated,SOX6
FAM83A,1.10925579952117,1.93164841787585e-05,Up-regulated,SOX6
LCN2,1.52769632230063,9.98185827879992e-12,Up-regulated,SOX6
DRC1,1.39387148228176,1.38990713351081e-15,Up-regulated,SOX6
PLSCR2,1.05427922070531,7.43734114694009e-16,Up-regulated,SOX6
NNMT,1.50478788034658,1.27246013363181e-05,Up-regulated,SOX6
PCSK9,2.06549330913782,3.71291339101415e-05,Up-regulated,SOX6
ESCO2,1.04327173658128,3.27233176776318e-16,Up-regulated,SOX6
ANKRD45,3.5045211921049,1.02740892453052e-10,Up-regulated,SOX6
SUCNR1,1.17134701299353,1.00499559715046e-15,Up-regulated,SOX6
IFIT1B,1.39017065150012,1.62314404429011e-08,Up-regulated,SOX6
LINC01531,1.17853117626402,3.06147156010023e-16,Up-regulated,SOX6
MCM10,1.11072005212824,1.34833712029968e-11,Up-regulated,RFX5
DHX58,1.08696066231358,1.89182322058877e-19,Up-regulated,RFX5
OAS2,1.8664603205396,2.11401922753326e-25,Up-regulated,RFX5
KLHDC7B,1.32192268346349,4.16022722899892e-17,Up-regulated,RFX5
HERC6,1.47449958301256,5.67952217030984e-27,Up-regulated,RFX5
KCTD14,1.349394004171,4.2256186840226e-08,Up-regulated,RFX5
COL26A1,-1.7302866595173,1.06222557927411e-08,Down-regulated,RFX5
CDC25A,1.31969747882422,3.08085949648366e-14,Up-regulated,RFX5
DLGAP1,1.52314618689205,3.43476082774029e-22,Up-regulated,RFX5
ESCO2,1.04327173658128,3.27233176776318e-16,Up-regulated,RFX5
HES4,1.77100611173514,4.18259778030525e-17,Up-regulated,RFX5
GPR15,1.02164032953586,3.69853225093744e-10,Up-regulated,PAX5
ADAM29,-1.12272183205472,1.11216166708993e-05,Down-regulated,PAX5
LGALS3BP,1.38998670977066,4.73243774645441e-20,Up-regulated,MYC
PRSS35,-1.98018686693431,5.64743204801577e-14,Down-regulated,MYC
TENM4,-1.02017666523974,4.91838000191887e-06,Down-regulated,MYC
COL26A1,-1.7302866595173,1.06222557927411e-08,Down-regulated,MYC
DLGAP1,1.52314618689205,3.43476082774029e-22,Up-regulated,MYC
LRRC26,-1.6099795454922,4.07819761642564e-09,Down-regulated,MYC
KRT5,-1.10569654785913,3.37155815256049e-09,Down-regulated,MYC
AJAP1,-1.23223511120274,7.32479814761306e-13,Down-regulated,MYC
SLC22A31,1.17176221277311,2.89866607154258e-08,Up-regulated,MYC
CCDC85A,-1.53880003483008,5.87191719887768e-05,Down-regulated,MAZ
PRSS33,-1.0361378556692,4.302898145207e-08,Down-regulated,HIC1
MPO,1.30538096298628,1.03270091720521e-09,Up-regulated,GATA1
PIR,1.03948397889209,1.81904568353992e-07,Up-regulated,GATA1
CRISP3,1.53741381036857,5.43728713458556e-11,Up-regulated,GATA1
PRSS33,-1.0361378556692,4.302898145207e-08,Down-regulated,GATA1
GRB10,1.08916015141833,2.8171278374673e-10,Up-regulated,GATA1
RHAG,1.21257099544973,3.99697385740488e-07,Up-regulated,GATA1
OR2B6,1.06707841691422,1.91514938740076e-09,Up-regulated,GATA1
MT2A,1.20394961634382,9.78820712421442e-16,Up-regulated,GATA1
KLHDC7B,1.32192268346349,4.16022722899892e-17,Up-regulated,GATA1
GDF15,1.02626776503071,1.06614465772043e-12,Up-regulated,GATA1
CA1,1.48072440724063,3.50534374992488e-08,Up-regulated,GATA1
IFITM3,1.27109787195421,1.69803038816558e-18,Up-regulated,GATA1
FAM83A,1.10925579952117,1.93164841787585e-05,Up-regulated,GATA1
NNMT,1.50478788034658,1.27246013363181e-05,Up-regulated,GATA1
PCSK9,2.06549330913782,3.71291339101415e-05,Up-regulated,GATA1
AHSP,1.42007827518199,9.53739201544119e-08,Up-regulated,GATA1
C1QB,1.43142135551777,2.28708743849661e-13,Up-regulated,GATA1
TYMSOS,1.34388077251203,1.81700154970938e-09,Up-regulated,GATA1
ANKRD45,3.5045211921049,1.02740892453052e-10,Up-regulated,GATA1
IFITM1,1.11142974525403,1.05333068438069e-30,Up-regulated,GATA1
ELANE,1.18738383792883,9.81406289553675e-06,Up-regulated,GATA1
SUCNR1,1.17134701299353,1.00499559715046e-15,Up-regulated,GATA1
IFIT1B,1.39017065150012,1.62314404429011e-08,Up-regulated,GATA1
LINC01531,1.17853117626402,3.06147156010023e-16,Up-regulated,GATA1
HBM,1.01521880989175,5.77822700134625e-06,Up-regulated,GATA1
TRHDE-AS1,1.42102574698407,1.10128540114182e-09,Up-regulated,GATA1
MIR3945HG,1.12389641776643,4.45552858009998e-14,Up-regulated,GATA1
IRF7,1.28036769374498,3.99077490447081e-22,Up-regulated,ESRRA
PCAT18,1.11309114586591,0.000158822199496131,Up-regulated,ESRRA
CCDC85A,-1.53880003483008,5.87191719887768e-05,Down-regulated,EBF1
CHL1,-1.10352791852528,2.07700842356355e-08,Down-regulated,EBF1
GPR15,1.02164032953586,3.69853225093744e-10,Up-regulated,EBF1
NLRP4,-1.16120411800224,2.09941926828821e-05,Down-regulated,EBF1
ADAM29,-1.12272183205472,1.11216166708993e-05,Down-regulated,EBF1
DLGAP1,1.52314618689205,3.43476082774029e-22,Up-regulated,EBF1
LRRC26,-1.6099795454922,4.07819761642564e-09,Down-regulated,EBF1
OGDHL,1.26589273848982,0.000196858371693466,Up-regulated,EBF1
LINC00887,1.17792218078638,5.05527143198846e-06,Up-regulated,EBF1
DLGAP1-AS5,2.41295852594592,2.63704862573998e-07,Up-regulated,EBF1
MIR4449,-1.0597776045724,0.00214279641547854,Down-regulated,EBF1
MIR650,1.01851956217058,3.7348049692721e-06,Up-regulated,EBF1
LAP3,1.12188920383399,8.84290573335841e-23,Up-regulated,E2F8
ANLN,1.11904296372346,8.54924283962702e-17,Up-regulated,E2F8
MCM10,1.11072005212824,1.34833712029968e-11,Up-regulated,E2F8
IFI35,1.08403339254851,1.13358938423177e-20,Up-regulated,E2F8
HMMR,1.0671659740313,1.53065644231785e-11,Up-regulated,E2F8
LAMP3,1.65969754900599,1.29387783258024e-20,Up-regulated,E2F8
CHMP5,1.05903588035494,6.22427545327004e-24,Up-regulated,E2F8
BIRC5,1.17145166132159,1.49643495230291e-12,Up-regulated,E2F8
CDC45,1.13098141874761,3.40812313212151e-11,Up-regulated,E2F8
CDC6,1.07590631639459,6.11746589705643e-14,Up-regulated,E2F8
LGALS3BP,1.38998670977066,4.73243774645441e-20,Up-regulated,E2F8
SLC26A8,1.20326438422838,1.77476944772155e-16,Up-regulated,E2F8
TTK,1.20898589983008,1.01969377908367e-20,Up-regulated,E2F8
PLSCR4,1.14738564657745,2.88198964416885e-11,Up-regulated,E2F8
IFIH1,1.33850850992991,1.44425093977836e-30,Up-regulated,E2F8
ZNF684,1.02343260037043,5.45530872972871e-17,Up-regulated,E2F8
HJURP,1.22740834384193,7.84591686572457e-16,Up-regulated,E2F8
DLGAP5,1.37608605672942,8.26695015557152e-20,Up-regulated,E2F8
E2F8,1.42028953740023,3.10925306311699e-15,Up-regulated,E2F8
KLHDC7B,1.32192268346349,4.16022722899892e-17,Up-regulated,E2F8
TOP2A,1.16842529894688,1.89617712199957e-20,Up-regulated,E2F8
TRIM22,1.17846825194995,2.65814136646483e-27,Up-regulated,E2F8
CA1,1.48072440724063,3.50534374992488e-08,Up-regulated,E2F8
DDX60,1.77107586628684,1.07246151447533e-30,Up-regulated,E2F8
