term_name	source	p_values	significant	intersection_sizes	regulon
mitotic cell cycle process	GO:BP	0.215738195031123	FALSE	56	BCL11A
mitotic cell cycle process	GO:BP	8.13974020637381e-45	TRUE	141	E2F8
mitotic cell cycle process	GO:BP	0.415657873729423	FALSE	81	EBF1
mitotic cell cycle process	GO:BP	0.0121437512610403	TRUE	76	ESRRA
mitotic cell cycle process	GO:BP	0.237656394859991	FALSE	13	GABPA
mitotic cell cycle process	GO:BP	0.00132877475031387	TRUE	115	GATA1
mitotic cell cycle process	GO:BP	0.199310969233794	FALSE	2	GATA2
mitotic cell cycle process	GO:BP	0.202126726491052	FALSE	4	HIC1
mitotic cell cycle process	GO:BP	0.00872747462643082	TRUE	42	MAZ
mitotic cell cycle process	GO:BP	0.0871340961199632	FALSE	125	MYC
mitotic cell cycle process	GO:BP	0.183487229182754	FALSE	38	PAX5
mitotic cell cycle process	GO:BP	5.6081561439614e-06	TRUE	53	RFX5
mitotic cell cycle process	GO:BP	0.038008046941625	TRUE	23	SOX6
mitotic cell cycle process	GO:BP	4.24526122713569e-08	TRUE	14	SREBF2
mitotic cell cycle process	GO:BP	0.27409141583295	FALSE	24	TBX21
mitotic cell cycle process	GO:BP	0.00557766728996854	TRUE	17	ZHX2
cell cycle process	GO:BP	0.37061831909578	FALSE	88	BCL11A
cell cycle process	GO:BP	2.36718274733459e-44	TRUE	264	E2F8
cell cycle process	GO:BP	0.310118665653455	FALSE	140	EBF1
cell cycle process	GO:BP	0.0320327756426137	TRUE	119	ESRRA
cell cycle process	GO:BP	0.0318663903958872	TRUE	33	GABPA
cell cycle process	GO:BP	0.00462491790929751	TRUE	131	GATA1
cell cycle process	GO:BP	0.359330105881666	FALSE	2	GATA2
cell cycle process	GO:BP	0.301752085581415	FALSE	5	HIC1
cell cycle process	GO:BP	0.0179929199175074	TRUE	61	MAZ
cell cycle process	GO:BP	0.0314924053442682	TRUE	214	MYC
cell cycle process	GO:BP	0.131963453281008	FALSE	64	PAX5
cell cycle process	GO:BP	4.90143642822696e-06	TRUE	81	RFX5
cell cycle process	GO:BP	0.0323045389189351	TRUE	34	SOX6
cell cycle process	GO:BP	3.13670385308313e-06	TRUE	37	SREBF2
cell cycle process	GO:BP	0.583356887743706	FALSE	37	TBX21
cell cycle process	GO:BP	1.50533260105295e-05	TRUE	34	ZHX2
