gene_name,log2FoldChange,padj,direction,source
ZNF684,1.02343260037043,5.45530872972871e-17,Up-regulated,ZNF148
TRIM6,1.68254870270285,9.12195092266043e-23,Up-regulated,ZNF148
INHBA,1.38124216897912,2.86645406568941e-09,Up-regulated,ZNF148
MX1,1.98602947755859,9.43392198961203e-24,Up-regulated,ZNF148
PLSCR2,1.05427922070531,7.43734114694009e-16,Up-regulated,ZNF148
ISG15,2.52154457782164,4.08198056695273e-26,Up-regulated,ZNF148
ANLN,1.11904296372346,8.54924283962702e-17,Up-regulated,VEZF1
CHMP5,1.05903588035494,6.22427545327004e-24,Up-regulated,VEZF1
GRB10,1.08916015141833,2.8171278374673e-10,Up-regulated,VEZF1
MOCS1,1.52323737365802,3.18650266680223e-08,Up-regulated,VEZF1
GDF15,1.02626776503071,1.06614465772043e-12,Up-regulated,VEZF1
ZCCHC2,1.23757737095701,1.17622478407361e-23,Up-regulated,VEZF1
KIAA1958,1.26792862853539,9.65347260697036e-26,Up-regulated,VEZF1
IFIT1,2.57491657084068,1.16648415138003e-26,Up-regulated,VEZF1
ISG15,2.52154457782164,4.08198056695273e-26,Up-regulated,VEZF1
PRTN3,1.42179951350812,1.00627906325114e-05,Up-regulated,VEZF1
GRB10,1.08916015141833,2.8171278374673e-10,Up-regulated,STAT3
IFIH1,1.33850850992991,1.44425093977836e-30,Up-regulated,STAT3
IFIT3,2.23080941615439,1.19275115033254e-28,Up-regulated,STAT3
ZBP1,1.28402643876687,2.67439647588396e-24,Up-regulated,STAT3
PARP14,1.16918191501088,2.11185522456346e-28,Up-regulated,STAT3
MX2,1.04944312694007,2.6707807213447e-21,Up-regulated,STAT3
NOS1AP,1.12593450386037,4.6169842541843e-09,Up-regulated,STAT3
LINC01531,1.17853117626402,3.06147156010023e-16,Up-regulated,STAT3
MIR3945HG,1.12389641776643,4.45552858009998e-14,Up-regulated,STAT3
FOXC1,1.10347167246863,7.67376960940974e-08,Up-regulated,NFIL3
IFIH1,1.33850850992991,1.44425093977836e-30,Up-regulated,NFIL3
