gene_name,log2FoldChange,padj,direction,source
ISG15,2.52154457782164,4.08198056695273e-26,Up-regulated,ZNF148
IFIT1,2.57491657084068,1.16648415138003e-26,Up-regulated,VEZF1
ISG15,2.52154457782164,4.08198056695273e-26,Up-regulated,VEZF1
IFIT3,2.23080941615439,1.19275115033254e-28,Up-regulated,STAT3
IFIT1,2.57491657084068,1.16648415138003e-26,Up-regulated,NFIL3
OAS3,2.27831111279212,1.16963690245986e-23,Up-regulated,IRF4
IFIT3,2.23080941615439,1.19275115033254e-28,Up-regulated,IRF4
EPSTI1,2.09270204222659,3.87345589917604e-30,Up-regulated,IRF4
CMPK2,2.36415717731566,2.31238690113774e-25,Up-regulated,IRF4
OASL,2.00107162257635,1.51380997464219e-28,Up-regulated,IRF4
IFI44,2.62690817129071,6.10101682343789e-30,Up-regulated,IRF4
OVOL1,2.05648194618793,8.63512238594789e-10,Up-regulated,IRF4
OAS3,2.27831111279212,1.16963690245986e-23,Up-regulated,IRF2
IFIT3,2.23080941615439,1.19275115033254e-28,Up-regulated,IRF2
IFI6,2.1351268048688,6.15987356216978e-27,Up-regulated,IRF2
EPSTI1,2.09270204222659,3.87345589917604e-30,Up-regulated,IRF2
RSAD2,2.88245286709172,2.36392162009677e-25,Up-regulated,IRF2
CMPK2,2.36415717731566,2.31238690113774e-25,Up-regulated,IRF2
USP18,2.83055409344908,4.18492258404903e-31,Up-regulated,IRF2
IFIT1,2.57491657084068,1.16648415138003e-26,Up-regulated,IRF2
ISG15,2.52154457782164,4.08198056695273e-26,Up-regulated,IRF2
NRIR,2.22558450121788,6.55067465773718e-23,Up-regulated,IRF2
NKAIN1,2.30461186273263,3.02111890488058e-05,Up-regulated,IRF1
OAS1,2.02707872725152,2.52392275465891e-26,Up-regulated,IRF1
OAS3,2.27831111279212,1.16963690245986e-23,Up-regulated,IRF1
IFIT3,2.23080941615439,1.19275115033254e-28,Up-regulated,IRF1
IFI6,2.1351268048688,6.15987356216978e-27,Up-regulated,IRF1
EPSTI1,2.09270204222659,3.87345589917604e-30,Up-regulated,IRF1
RSAD2,2.88245286709172,2.36392162009677e-25,Up-regulated,IRF1
CMPK2,2.36415717731566,2.31238690113774e-25,Up-regulated,IRF1
OASL,2.00107162257635,1.51380997464219e-28,Up-regulated,IRF1
HERC5,2.1513499342013,8.22311428607812e-29,Up-regulated,IRF1
OLAH,3.25024747249559,3.36538614400244e-18,Up-regulated,IRF1
LY6E,2.08692263053196,2.12688677188645e-24,Up-regulated,IRF1
OVOL1,2.05648194618793,8.63512238594789e-10,Up-regulated,IRF1
USP18,2.83055409344908,4.18492258404903e-31,Up-regulated,IRF1
IFIT1,2.57491657084068,1.16648415138003e-26,Up-regulated,IRF1
ISG15,2.52154457782164,4.08198056695273e-26,Up-regulated,IRF1
NRIR,2.22558450121788,6.55067465773718e-23,Up-regulated,IRF1
OAS1,2.02707872725152,2.52392275465891e-26,Up-regulated,ETV6
OAS3,2.27831111279212,1.16963690245986e-23,Up-regulated,ETV6
IFIT3,2.23080941615439,1.19275115033254e-28,Up-regulated,ETV6
IFI6,2.1351268048688,6.15987356216978e-27,Up-regulated,ETV6
EPSTI1,2.09270204222659,3.87345589917604e-30,Up-regulated,ETV6
CMPK2,2.36415717731566,2.31238690113774e-25,Up-regulated,ETV6
IFI44L,3.18736428893,8.71648995072307e-26,Up-regulated,ETV6
HERC5,2.1513499342013,8.22311428607812e-29,Up-regulated,ETV6
OVOL1,2.05648194618793,8.63512238594789e-10,Up-regulated,ETV6
USP18,2.83055409344908,4.18492258404903e-31,Up-regulated,ETV6
IFIT1,2.57491657084068,1.16648415138003e-26,Up-regulated,ETV6
ISG15,2.52154457782164,4.08198056695273e-26,Up-regulated,ETV6
DLGAP1-AS5,2.41295852594592,2.63704862573998e-07,Up-regulated,ETV6
