term_name	source	p_values	significant	intersection_sizes	regulon
regulation of primary metabolic process	GO:BP	2.11465866842396e-19	TRUE	747	ETV6
regulation of primary metabolic process	GO:BP	1.31152343779942e-23	TRUE	697	IRF1
regulation of primary metabolic process	GO:BP	1.87205331435247e-17	TRUE	384	IRF2
regulation of primary metabolic process	GO:BP	0.0103231467764535	TRUE	150	IRF4
regulation of primary metabolic process	GO:BP	2.33570924985585e-06	TRUE	101	NFIL3
regulation of primary metabolic process	GO:BP	4.27831461238925e-07	TRUE	181	STAT3
regulation of primary metabolic process	GO:BP	1.74014554825615e-53	TRUE	717	VEZF1
regulation of primary metabolic process	GO:BP	1.60155500406948e-30	TRUE	368	ZNF148
response to external biotic stimulus	GO:BP	7.23292368900681e-49	TRUE	226	ETV6
response to external biotic stimulus	GO:BP	2.54069206675934e-45	TRUE	226	IRF1
response to external biotic stimulus	GO:BP	7.88920550769271e-34	TRUE	133	IRF2
response to external biotic stimulus	GO:BP	2.50092855736479e-09	TRUE	38	IRF4
response to external biotic stimulus	GO:BP	1.3694890891261e-07	TRUE	38	NFIL3
response to external biotic stimulus	GO:BP	2.45665668802977e-11	TRUE	69	STAT3
response to external biotic stimulus	GO:BP	2.1843422971535e-07	TRUE	57	VEZF1
response to external biotic stimulus	GO:BP	0.0149804823015015	TRUE	3	ZNF148
regulation of response to stimulus	GO:BP	7.23292368900681e-49	TRUE	695	ETV6
regulation of response to stimulus	GO:BP	5.96086550013223e-30	TRUE	572	IRF1
regulation of response to stimulus	GO:BP	1.63337065538017e-13	TRUE	205	IRF2
regulation of response to stimulus	GO:BP	0.00372433125086933	TRUE	45	IRF4
regulation of response to stimulus	GO:BP	2.22901787050477e-05	TRUE	52	NFIL3
regulation of response to stimulus	GO:BP	2.5543987342282e-16	TRUE	176	STAT3
regulation of response to stimulus	GO:BP	2.694992609024e-21	TRUE	469	VEZF1
regulation of response to stimulus	GO:BP	1.86133932182951e-06	TRUE	215	ZNF148
response to other organism	GO:BP	7.23292368900681e-49	TRUE	226	ETV6
response to other organism	GO:BP	2.43999638473573e-45	TRUE	226	IRF1
response to other organism	GO:BP	7.88920550769271e-34	TRUE	133	IRF2
response to other organism	GO:BP	2.50092855736479e-09	TRUE	38	IRF4
response to other organism	GO:BP	1.3694890891261e-07	TRUE	38	NFIL3
response to other organism	GO:BP	2.43760752115943e-11	TRUE	69	STAT3
response to other organism	GO:BP	2.06714619335763e-07	TRUE	57	VEZF1
response to other organism	GO:BP	0.014944458827955	TRUE	3	ZNF148
defense response	GO:BP	1.18910057542797e-48	TRUE	238	ETV6
defense response	GO:BP	2.27585063802784e-42	TRUE	241	IRF1
defense response	GO:BP	7.56531212615178e-27	TRUE	132	IRF2
defense response	GO:BP	1.40502826682091e-07	TRUE	37	IRF4
defense response	GO:BP	4.8347460129316e-07	TRUE	41	NFIL3
defense response	GO:BP	9.91163821480557e-11	TRUE	81	STAT3
defense response	GO:BP	2.06714619335763e-07	TRUE	63	VEZF1
defense response	GO:BP	0.000162527585470673	TRUE	5	ZNF148
response to biotic stimulus	GO:BP	2.54972467204506e-48	TRUE	228	ETV6
